fr	fon
Rebecca Kjindjanhoundé s’est intéressée au sujet.	2002- Xó ɔ́ jɛ Rebecca Kɛnjanhunɖe tɔn jí.
Le référentiel des prix fixe les prix d’achat par l’Etat de 9759 articles répartis en 17 catégories de biens et services.	1592- Akwɛ zínzán wémá ɔ́ ɖɔ akwɛ è axɔsú ná dó xɔ nǔ tɛnmɛ tɛnmɛ 9759 ná é bɔ è má yě dó sonu sonu donu 17 jí.
Les articles répertoriés sont ceux susceptibles de faire l’objet de commandes par les structures publiques.	1593- Nǔ xixɔ è è ɖènyǐ ɖò akwɛ zínzán wémá ɔ́ mɛ̀ ɔ́ wɛ nyí nǔ è sín hudo è ko nɔ ɖó ɖò azɔwatɛn axɔsú xwé tɔn lɛ́ɛ ɔ́ é.
Les prix mentionnés dans le répertoire sont toutes taxes comprises (TTC) pour les produits assujettis à la TVA et hors taxes (HT) pour les produits exonérés de la TVA.	1594- Akwɛ è ko ɖò akwɛ zínzán wémá ɔ́ mɛ̀ lɛ́ɛ bǐ wɛ ko ɖò TTC jí.
Les prix hors taxes des produits sont obtenus en divisant les prix TTC du répertoire par 1,18.	1595- È ná mɔ akwɛ è è xɔ nǔ ɔ́ ná takwɛ mɛvo ɔ́‚ é nɔ sɔ akwɛ TTC ɔ́ bó nɔ má dó 1‚8 jí.
Lire ci-dessous le message du ministre de l’Intérieur Dans le cadre de la mise en œuvre des mesures prises par le Gouvernement pour la riposte à la pandémie du Coronavirus (COVID-19), il est établi un cordon sanitaire autour des communes les plus exposées à cette pandémie que sont : Cotonou, Abomey-Calavi, Allada, Ouidah, Tori, Zè, Sèmè-Podji, Porto-Novo, Akpro-Missérété et Adjarra.	1596- Xà wɛn è Gǎn-hɔn-yì-tɔ ée nɔ kpénúkún dó tò tɛntin xó wú é dó ɖò zali xá azɔnkwín Kovidi-19 lí nù é. È xà globoto lɛ́ dó tokpɔnla élɔ́ lɛ́ɛ : Kutɔnu ‚ Agbomɛ Kánɖòfí ‚ Alada‚ Glèxwé‚ Tɔli‚ Zɛ‚ Sɛmɛ-kpoji‚ Xɔgbonu ‚ Akplo-Mislètè kpódó Ajala kpán.
Par conséquent, les dispositions ci-après entrent en vigueur pour compter du lundi 30 mars 2020 à 00 heure au dimanche 12 avril 2020 à minuit : Toutefois, sont autorisées :	1597- È sɔ tutomɛ élɔ́ lɛ́ɛ ɖòtè bó ná liza xá azɔnkwín ɔ́ bɛsín tɛníígbè azǎn 30ɔ́ xwèjísùn xwè 2020ɔ́ tɔn gbè ɖò gàn wěwě mɛ̀ zǎn mɛ̀ wá yì jɛ Aklunɔzángbè azǎn 12ɔ́ lidósùn xwè 2020ɔ́ tɔn gbè ɖò gàn wěwě mɛ̀ zǎn mɛ̀.
Pour ces dernières la situation est encore plus difficile.	886- Nú yedɛlɛ́ɛ ɔ́‚ nǔ ɔ́ tlɛ blawu.
“Parce que, d’abord, le revenu que nous avons en tant hôtesse, nous ne l’avons plus.	"""887- """" Ɖó ‚ hwɛ̌ ɔ́‚ akwɛ è è nɔ sú mǐ ‚ ɖó mì nyí xwè ɖùɖù tɛn zɔ́ wa tɔ́ lɛ́ɛ wú ɔ́‚ è sɔ nɔ sú mǐ ǎ."""
Parce qu’il n’y a plus d’événements et tant qu’il n’y a plus d’événements il n’y a plus de prestations”, explique Ilarie Amah, hôtesse d’accueil.	"""888- Ɖó xwè ɖùɖù ɖě sɔ ɖè ǎ ‚ bónú nǔ ká fɔn bó ɖò mɔ̌ cí wɛ ɔ́‚ azɔxwé mìtɔn sɔ síxú mɔ azɔ̌ ɖé ǎ """" Ilarie Amah‚ wɛ tín nǔ nɛ́ mɛ̀."""
Cependant, les fidèles doivent encore respecter des mesures prises pour freiner la propagation du virus conformément aux recommandations du gouvernement.Au sein des confessions religieuses, on s’active pour éviter que la réouverture des lieux de culte rime avec la propagation du virus.	1483- É ɖò mɔ̌ có agùn ví lɛ́ɛ ɖó ná wànǔ xwédó walɔ ɖagbe è nyí alɔ nyì nú azɔnkwín ɔ́ é ɖi lě acɛkpìkpà ɔ́ zɔ́n gbɔn é. Amisa xwé lɛ́ɛ ɖò kàn xò wɛ lóbónú sinsɛnnuwatɛn lɛ́ɛ hùnhùn ní má zɔ́n nú azɔnkwín ɔ́ lɛ́ jɛji ó.
Plusieurs confessions religieuses ont annoncé la mise en place de mesures dans ce sens.	1484- Amisa xwé gege lá ɖɔ émí ná sɔ alɔ nyì nú azɔnkwín sín nǔ lɛ́ɛ ɖòtè.
Le retour des biens culturels pillés durant la période coloniale en Afrique amorce une étape importante en France.	2297- Kɔlɛ́wa xwé tò dɔkun mìtɔn è yovo fɔ yì tò yetɔn mɛ̀ gǎnnu gǎnnu lɛ́ɛ ko sɛ kpɔ́.
Le gouvernement français a annoncé ce 15 juillet 2020 un projet de loi relatif à la restitution de biens culturels au Bénin et au Sénégal.Ce projet de loi examiné en conseil des ministres matérialise les échanges entre le gouvernement du Bénin et celui de la France sur le retour au bercail des 26 objets du trésor des rois d’Abomey.	2298- Ɖò azǎn 15ɔ́ lyasùn xwè 2020ɔ́ tɔn gbè ɔ́‚ acɛkpìkpà yovo flasê lɛ́ɛ tɔn lá ɖɔ émí ná kpà sɛ́n bó ná bɛ́ dɔkun Benɛ tò ɔ́ kpódó Sénégal tò ɔ́ kpán tɔ́n jó.  Tutomɛ sɛ́n kpikpa tɔn nɛ́ ɔ́ è è sɔ nyìtè ɔ́ wɛ xlɛ xó è acɛkpìkpà Benɛ tɔn ɔ́ kpódó yovo flansê tɔn ɔ́ kpán cyan dó kɔlɛ́wa tò dɔkun 26 ée nyí dɔkun Dádá Agbomɛ tɔn lɛ́ɛ tɔ́n é.
Selon le compte rendu du conseil des ministres, le projet de loi autorise, par une dérogation limitée au principe essentiel d’inaliénabilité applicable aux collections publiques françaises, la sortie des collections nationales pour transfert de propriété à la République du Bénin, des vingt-six œuvres du trésor royal d’Abomey, conservées par le musée du Quai Branly-Jacques Chirac, à la suite de leur don aux collections nationales par le Général Alfred Dodds (1842-1922).	2299- Ɖò kplé è gǎn-hɔn-yì-tɔ lɛ́ɛ yì ɔ́ sín gbè ɖíɖó mɛ̀ ɔ́‚ tutomɛ ɔ́ yígbè ɖɔ tò dɔkun ko atɔ́ɔn núkún ɖokpó Dádá Agbomɛ tɔn lɛ́ɛ‚ ée ye bɛ́ dó hɔnmɛ ɖò Quai Branly - Jacques Chirac ɔ́‚ bɔ ahwan gán sùnví nɔ Alfred Dodds (1842-1922) wá bɛ́ ɖò Agbomɛ lɛ́ɛ ɔ́‚ ye ní bɛ́ jó.
La loi en étude prévoit un délai maximum d’un an pour restituer ces éléments du patrimoine culturel africain.	2300- Sɛ́n byɔ ɖɔ è ní ná xwè ɖokpó flansê tò ɔ́ bɛ́ ná tò dɔkun nɛ́ lɛ́ɛ jó.
Elle estime qu’elle dispose d’assez d’éléments pour capter, monter et produire un documentaire.	2104- È émí ɖó alyannu gege din bó ná wlí yɛ‚ bó na lɛ́ tò yɛ.
La prochaine étape est la production des sujets vidéos choisis par les participants sur les objectifs de développement durable.	2105- Akpáxwé ɖevo din ɔ́‚ ye ná wazɔ dó yɛ kpinkpɔn jí.
Adonis Bohoun	2106- Adonis Bohoun.
La Confédération Africaine de Football doit statuer sur la situation tendue entre le Bénin et la Sierra Leone autour de ce dernier match des éliminatoires de la CAN 2022.	2107- Gbɛta ée nɔ kpénúkún dó bɔlu xixo wú ɖò Aflika gbéjí ɔ́ ɖó ná ɖɔ lě bɔlu xixo ɔ́ ɖò ná nyí wɛ ɖò Benɛ kpódó Sierra Léone kpán tɛntin é.
La dernière nation qualifiée doit sortir de cette rencontre.	2108- Tò gudo tɔn ée ná yì CAN 2022 ɔ́‚ ɖó ná tɔ́n sín anyǔ kpikpe nɛ́ ɔ́ mɛ̀.
Le Bénin a besoin d’un nul ; son adversaire sierra leonais d’une victoire.	2109- Benɛ ɖó hudo kɛ́n vɔ̌kwín tɔn bɔ Sierra Léone ká ɖó hudo ɖùɖéjí tɔn.
Et pour passer, les locaux semblent user de tous les moyens, même les plus malhonnêtes.	2110- Bónú è ná dó kpà yě ɔ́‚ bɔlu xò gbɛta Sierra Léone tɔn ɔ́ ɖò wlɛnwin lɛ́ɛ bǐ bá wɛ káká yì jɛ ée má sɔgbe ǎ jí.
C’est en tout cas ce que suggère la protestation de la partie béninoise qui conteste des tests Covid-19 qui éliminent 6 joueurs – et pas des moindre – de l’effectif des Ecureuils.	2111- Nǔ gbɛ wɛ bɔlu xò gbɛta Benɛ tɔn ɔ́ ɖè ɔ́ nɛ́ ; ye gbɛ ɖɔ mɛ 6 è wú è mɔ azɔnkwín kolonâ ɔ́ ɖè lɛ́ɛ ɔ́‚ nǔ kún síxú nyí mɔ̌ ó.
Le gardien Saturnin Allagbé, les défenseurs centraux Adénon et Hountondji, la ligne d’attaque constituée de Poté, Dossou, Mounié sont en effet jugés positifs au Coronavirus.	2112- Ye mɔ azɔnkwín kolonâ ɔ́ ɖò ajacɔ́tɔ́ Saturnin Allagbé wú‚ gudo cɔ́tɔ́ Adénon kpódó Hùntɔnjí kpán ‚ nukɔn xotɔ́ Poté‚ Dòsú kpódó Mounié kpán wú.
Le casting est parfait pour décimer les Ecureuils.	2113- Ye tò nǔ lɛ́ɛ bǐ bó ná gbó Ecureuils lɛ́ɛ.
Sauf que les responsables à tête de la délégation béninoise crient à la tricherie.	2114- Amɔ̌ nukɔntɔ Benɛ tɔn lɛ́ɛ ká ɖò caxóo jí.
Au Bénin, c’est par des alertes sur les réseaux sociaux, qu’on apprend que les 6 joueurs du 11 de départ des Ecureuils ont été testés positifs au Covid-19.	2115- Mì mɛ è ɖò Benɛ lɛ́ɛ ɔ́‚ xó ɖɔ gbà jí lɛ́ɛ wɛ mì sè bɔ azɔnkwín kolonâ ɖò mɛ 6 wú ɖò mɛ 11 lɛ́ɛ mɛ̀. Bɔlu xò tɔ́ Benɛ tɔn lɛ́ɛ bǐ wɛ è ká gbéjé kpɔn có bɔ ye yì.
Parmi les auteurs des publications, Emmanuel Imorou et Jodel Dossou.	2116- Ɖò yemɛ ée wlán nǔ lɛ́ɛ mɛ̀ ɔ́‚ è ná mɔ Emmanuel Imorou kpódó Jodel Dòsú kpán.
pic.twitter.com/GrPfI0EyLR — Gouvernement du Bénin 🇧🇯 (@gouvbenin) May 11, 2020	428- pic.twitter.com/GrPfl0EyLR - acɛkpìkpà Benɛ tɔn 🇧🇯 (@gouvbenin) azǎn 11ɔ́ nǔxwásùn xwè 2020ɔ́ tɔn.
Comme en novembre 2016, le président Talon va à nouveau parcourir le pays à partir de ce jeudi 12 novembre 2020.	429- Ɖi lě è nyí gbɔn ɖò abɔxwísùn xwè 2016ɔ́ tɔn mɛ̀ ɔ́‚ tògán TALƆN ná lɛ́ dánhùn gbɔn tò ɔ́ bǐ mɛ̀ bɛsín nyɔ̌nuzángbè azǎn 12ɔ́ abɔxwísùn xwè 2020 ɔ́ tɔn.
Patrice Talon se rendra dans tous les départements du pays dans le cadre d’une tournée nationale annoncée par la presse depuis quelques jours.C’est un communiqué officiel du gouvernement qui annonce la prochaine descente de son chef sur le terrain.	430- Patrice TALƆN ná gbɔn tokpɔn ée ɖò tò ɔ́ mɛ̀ lɛ́ɛ bǐ mɛ̀ ɖi lě ɖɔ̀-nú-è-sè zɔ́ wá tɔ́ ko lá gbɔn é. Ɖɔ̀-nú-è-sè acɛkpìkpà ɔ́ tɔ́n wɛ̀ bó jlá ɖɔ̀ tògán ɔ́ ná jɛ̀tè wá ayǐ ɔ́ jí.
Ce sera, explique le communiqué, pour évaluer les résultats de l’action gouvernementale : “Après avoir consacré l’essentiel du temps à la mise en œuvre du Programme d’Action du Gouvernement, le Chef de l’Etat prend son bâton de pèlerin pour aller au contact des populations.	"""431- Ɖɔ̀-nú-è-sè ɔ́ tínmɛ ɖɔ̀ tògán ɔ́ ná yí ɖó kɛ́n azɔ̌ è acɛkpìkpà ɔ́ wà è tɔn : """" Ée é wá azɔ̌ hǎbǔ ɖò tutomɛ è acɛkpìkpà sɔ́ ɖó tè bó ná kùn tò ɔ́ ná wú ɔ́‚ tògán ɔ́ hwɛzizɛ mímɛ́ kpógɛ́ tɔn bó ná yí kpé tòví lɛ́ɛ."""
Ce sera l’occasion de recueillir leurs appréciations et observations sur ce qui a été réalisé dans leurs localités depuis 2016, leurs attentes aussi.” La “majorité des communes de notre pays” recevra donc la visite du président de la République.	"""432- """"Yɛkan nɛ́ ɔ́ mɛ̀ wɛ̀ é ná yí nǔ è ye mɔ dó azɔ̌ è é wà ɖò xá yetɔn mɛ̀ wú sin xwè 2016 ɖokpóo é ɔ́‚ bó ná lɛ́ yí núkún ɖíɖó yetɔn lɛ́ɛ ɖesu"""". """" Hǔn xá gege ná yí tògán ɔ́ sín jǒnɔ̀""""."""
Ce sera bien une première pour plusieurs communes du Bénin que le chef de l’Etat n’avait plus foulées depuis la campagne électorale de 2016.	433- É ná nyí nukɔntɔn ɔ́ bɔ̀ tokpɔnla gege ná lɛ́ mɔ tògán ɔ́ sín hwenu sɔ́mì sɔ́mì fó sín xwè 2016ɔ́ mɛ̀ ɖokpóo é.
Depuis son élection, Patrice Talon a rarement effectué des déplacements à l’intérieur du pays.	434- Sín hwenu è sɔ́ ɛ́ ɔ́‚ vlavo wɛ̀ Patrice TALƆN zɛhwɛ byɔ́ tò ɔ́ mɛ̀.
En juin 2016, il s’était rendu à Savè et Savalou pour son premier déplacement puis en novembre 2016 à Sèmèrè en passant par Parakou et Djougou.	435- Ɖò ayidósùn xwè 2016ɔ́ tɔn mɛ̀ ɔ́‚ é yì Savɛ kpódó Savalu kpán azɔn nukɔntɔn ɔ́ bó lɛ́ wá yì Sɛmɛlɛ bó gbɔn Kplaku Kpódó Jugu kpán ɖò abɔxwísùn xwè 2016ɔ́ tɔn ɔ́ mɛ̀.
Dans le monde et au Bénin, le guépard reste une espèce sauvage en danger d’extinction.	436- Ɖò gbɛ ɔ́ mɛ̀ bǐ ‚ ɖò Benɛ tò mɛ̀ ɖesu ɔ́‚ alulwi ɔ́ gbě kanlin ɖé wɛ̀ bó ɖò búbú wɛ̀.
Au début des années 1900, la population mondiale de guépards était estimée à 100.000.	437- Ɖò bibɛmɛ xwè 1900ɔ́ tɔn mɛ̀ ɔ́‚ kpɔ̀ ée ɖò gbɛ ɔ́ mɛ̀ bǐ ɔ́‚ è lɛ́n dó 100.000 (afatɔ́n donu kanwe ko)
Aujourd’hui, elle est de l’ordre de 10.000.	438- Éhɔ́nmɛ̀ ɔ́‚ 10 000 (afatɔ́n donu wǒ) mɔ̌ jɛ́n kpò.
Au nom du gouvernement béninois, le directeur de cabinet du ministre de la santé a témoigné sa gratitude au donateur.	864- Ɖò acɛkpìkpà ɔ́ sín nyǐkɔ mɛ ɔ́‚ mɛ bɔ́ dó mɛ wú gǎn-hɔn-yì-tɔ́ ée nɔ kpénúkún lanmɛ ná nɔ ganjí wú é ɔ́ tɔn ɔ́ dó gbè nǔnamɛtɔ́ lɛ́ɛ.
Le don de l’OMS arrive à point nommé a expliqué Pétas Akogbéto.	865- Pétas Akɔgbetɔ tínmɛ ɖɔ nǔníná nɛ́ ɔ́ jɛ gàn mɛ.
Dans un contexte où le gouvernement a décentralisé le dépistage et l’a rendu systématique pour certains groupes cibles, le lot de matériel offert par l’OMS sera utile à plusieurs niveaux.	866- Ée acɛkpìkpà ɔ́ ko jó alɔ dó nú bónú è ná gbéjé azɔnkwín ɔ́ ɖò lanmɛ nú mɛ ée é ko ɖè nyǐ ɖayǐ lɛ́ɛ ɔ́‚ alyannu è OMS ná lɛ́ɛ ná wà ɖagbe ɖo akpá gege xwé.
Les vacances de fin d’année se déroulent du vendredi 24 juillet au dimanche 27 septembre.	867- Gbɔjɛ hwenu xwè fúfónu tɔn ɔ́ ná bɛ́ bɛsín axɔsúzángbè azǎn 24ɔ́ lyasùn ɔ́ tɔn wá yì jɛ aklunɔzangbla azǎn 27ɔ́ zoosùn ɔ́ tɔn.
Et la HAAC depuis quelques années ne procède que par des rappels à l’ordre pour tenter d’encadrer la création de ces nouveaux médias.	829- Bɔ bɛsín xwè mɔkpán ɖye ɖokpóo ɔ́‚ sɛ́n jɛn HAAC nɔ́ flín yemɛ ée ɖò xó jíjlá gɔnu yaɖé yaɖé hùn wɛ lɛ́ɛ é.
Dans quelques jours, le Bénin célébrera 60 ans d’indépendance dans une ambiance inédite.	830- Ɖò azǎn yɔywɛ ɖé mɛ̀ din ɔ́‚ Benɛ tò ɔ́ ná ɖù ablɔɖe tɔn sín xwè 60ɔ́ ɖò awăjíjɛ́ ɖé mɛ̀.
En attendant, celle dont les 60 ans d’âge a déjà marqué la toile cette semaine c’est Angélique Kidjo.	831- Angélique Kijo ko ɖù xwè kpé xwè nù tɔn 60ɔ́ bɛ́ nyí nǔ ɖé bó flá gbɛ ɔ́ bǐ jí.
A l’occasion du soixantième anniversaire de l’artiste chanteuse, des internautes du monde entier lui ont rendu hommage sur les réseaux sociaux.	832- Hwenu hansinɔ tewungbeju ɔ́ ɖò xwè kpé xwè nù tɔn 60ɔ́ ɖù wɛ ɔ́‚ mɛ ée nɔ́ ko wlán nǔ gbɔn mɔkàn jí lɛ́ɛ é bǐ wɛ́ sɔ́ ɛ́ sù.
Mais ce qui a retenu notre attention, c’est l’hommage des autres artistes de la musique à la diva aux quatre Grammy’s Award.	"""833- Amɔ̌ nǔ è hɛn hǔn ɔ́ wɛ́ nyí sɔ́ è hansinɔ tɔnjɛji gbɛ ɔ́ tɔn ɛnɛ """"Grammy's Award"""" tɔn lɛ́ɛ sɔ́ ɛ́ sù é."""
Du Nigeria aux Etats-Unis, de Paris à Johannesburg, ses amis ont réalisé des capsules vidéos pour lui souhaiter joyeux anniversaire.	834- Gosin Awɔnlin wá yì États-Unis ɔ́‚ bó gosin Paris wá yì Johannesburg ɔ́‚ xɔntɔn tɔn lɛ́ɛ jihan bó sɔ́ ɛ́ sù.
Résultat : 20 minutes de vidéos compilées dans laquelle on aperçoit Alicia Keys, Salif Kéïta, Baaba Mall ou encore Burna Boy formuler leurs voeux à la star.	835- Fúfónu ɔ́: cɛ́jú 20 sín han ji ɖò nukpɛ́n mɛ̀ wɛ è xò kplé ; Alicia Keys ɖémɛ‚ Salif Kéïta ɖémɛ ‚ Baaba Mall ɖémɛ bɔ Burna Boy lɔ́ɔ ɖémɛ bɔ ye bǐ ji han lóbó byɔ́ ɖagbe níí.
Lire aussi : Coronavirus : voici les mesures de prévention prises par le Bénin Santé : des ministres du gouvernement constatent l’aménagement du site de prise en charge du coronavirus Les personnes ayant été en contact avec le patient sont en cours d’identification par ailleurs.	1341- È bó lɛ́ xà : Azɔnkwín kolonâ ɔ́ : walɔ ɖagbe è è sɔ ɖò Benɛ ɖò lanmɛ ná nɔ ganjí lí nù lɛ́ɛ ɖye : gǎn-hɔn-yì-tɔ́ acɛkpìkpà ɔ́ tɔn ɖélɛ́ɛ yí kpɔ́n fí è è ná ɖó tɛnmɛ nú mɛ ée ná bɛ́ kolonâ ɔ́ dó lɛ́ɛ é. Mɛ è ká ɖó wǔ kpɔ́ xá azinzɔnnɔ ɔ́ lɛ́ɛ ɔ́‚ è ká ɖò awɔntin hwɛ́n ayǐ wɛ bó ná ɖalɔ ye jí.
D’un montant de 2452,192 milliards, la loi de finances 2021 prévoit une croissance économique de 6 %, un taux d’inflation maîtrisé en dessous de la norme de 3 % mais aussi un déficit budgétaire de 4,5 % du Produit intérieur brut.	1342- Kpódó liva 2452‚192 kpán ɔ́‚ sɛ́n è ɖɔnǔ dó akwɛ zínkán wú ɔ́ lɛ́n ɖɔ tò ɔ́ ná yí nukɔn ɖò akwɛ lí xò nú kɛ́n 6%‚ axivívɛ́ nǔ è ɖò axi jí lɛ́ɛ tɔn ɔ́ ná zɛ kɛ́n 3% wú lě é ko nɔ nyí gbɔn é ɔ́ ǎ ‚ amɔ̌ è ná hwe kɛ́n 4‚5% dó akwɛ zínzán ée ɖò tò ɔ́ wú é bǐ.
C’est par ailleurs une part de 46,3 % du budget qui est réservée aux programmes sociaux.	1343- Kɛ́n 46‚3% wɛ è sɔ ɖótè ɖò tò kwɛ ɔ́ bǐ mɛ̀ bó ná zán dó nunɔmɛ tòví lɛ́ɛ tɔn wú.
Pour faire face efficacement à la pandémie, le gouvernement avait fait appel à la solidarité nationale en ouvrant, dans les livres de la direction générale du trésor et de la comptabilité publique, un compte destiné à recevoir les dons financiers.	595- Bó ná dó fun ahwan xá azɔnkwín ɔ́ ganjí ɔ́‚ acɛkpìkpà ɔ́ byɔ́ alɔ dó mɛ tòví bǐ tɔn kpáa lóbó sɔ́ wěgbó ɖokpó nyìtè ɖò azɔ̌ wá tɛn ée nɔ́ kpénúkún dó akwɛ́ zinkan tò ɔ́ tɔn wú ɔ́‚ bɔ̀ akwɛ́ gbá jí nɔ́ tɔ́ ɖokpó ná nɔ́ yí nǔníná ée ɖò akwɛ́ lí xò lɛ́ɛ é.
Ces derniers pouvant être également adressés par chèque au nom du Trésor public.	596- È hɛn ɔ́‚ è ná bló akwɛ́ wémá bó ná sɔ́ jó ɖò akwɛ́ gbá jí tò ɔ́ tɔn ɖó nǔníná nɛ́ ɔ́ tamɛ.
A ce jour, le Bénin compte 16 cas de contamination au Covid-19.	597- Káká tɔn éhɔ́nmɛ ɔ́‚ gbɛtɔ́ 16 wɛ́ bɛ́ Kovidi-19 ɖò Benɛ tò mɛ̀.
14 personnes touchées sont encore sous traitement alors que les deux autres ont été guéris.	598- È kpò ɖò mɛ woɛnɛ tɔ́jú wɛ̀ bɔ̀ azɔn ko gbɔ nú mɛ we.
Les épreuves écrites du baccalauréat ont débuté ce 20 juillet 2020 sur toute l’étendue du territoire national.	909- Akpáxwé nǔwlánwlán tɔn tɛnkpɔn baki tɔn ɔ́ ko bɛ́ sín azǎn 20ɔ́ lyasùn xwè 2020ɔ́ tɔn gbè ɖò Benɛ yí kún gban ɔ́ bǐ jí.
Le centre du Collège d’Enseignement Général de Houéyogbé (Mono) a accueilli le lancement officiel de l’examen par les autorités.95 405 candidats dont 35 049 filles et 60 355 garçons répartis dans 137 centres planchent durant trois jours pour décrocher le premier diplôme universitaire.	910- Nukɔntɔ lɛ́ɛ hùn nǔ sín tɛnkpɔn ɔ́ nù ɖò azɔmɛ xwé linsinmɛ tɔn ée xwéyɔgbe ɔ́  mɛ̀ (Mɔnɔ kàn mɛ). Agbahwlɛntɔ 95405 wɛ bɔ 35049 nyí nyɔnu ɖémɛ bɔ 60355 nyí sunnu ɖémɛ ‚ ye má ye bǐ dó azɔmɛ xwé 137 nú ye ná wlán nǔ bó ná yí Kunnuɖe wémá yetɔn nukɔntɔn kplɔn yì jǐ alà vɔ tɔn ɔ́.
Il est composé du signe typographique du croisillon qu’on a sur nos claviers appelé hash en anglais auquel est accolé un ou plusieurs mots (dénommés « tags » ou « étiquettes »).	"""1248- Xógbè """"hash"""" kpódó """"tags"""" kpán wɛ è xò cá ɖò atɛ mɔkàn tɔn jí bɛ́ ná """"hashtag"""" ɔ́."""
D’où l’appellation hashtag.	"""1249- Fí nyǐkɔ́ """"hashtag"""" tɔ́n ɖè é nɛ́."""
Le hashtag permet soit de marquer un contenu avec un mot-clé afin de partager ce contenu et d’y faire référence plus facilement, soit de regrouper l’ensemble des discussions faisant référence à un même thème.	1250- Hashtag ɔ́ nɔ dalɔ mɛ bɔ è nɔ ɖó wuntun xó ɖiɖɔ kpódó xógbè tají ɖé kpán ‚ alǒ é nɔ dalɔ mɛ bɔ è nɔ xò xó cyan cyan ée kunkpla xógbè ɖokpó ɔ́ lɛ́ɛ Kplé.
Il est couramment utilisé sur internet où il a été popularisé grâce aux réseaux sociaux.	1251- È nɔ yawu zán ɛ́ ɖò mɔkàn zɔ́ wíwá lɛ́ɛ gblamɛ bɔ xó ɖɔ gbà jí lɛ́ɛ wɛ zɔ́n bɔ è tuun í.
Pour la petite histoire, le hashtag a été inventé par Chris Messina, un designer Américain spécialiste des réseaux sociaux.	1252- È ná flín tàn kpɛɖé ɔ́‚ Chris Messina wɛ ɖè xógbè hashtag ɔ́ tɔ́n‚ Amɛlika tò mɛ̀ nù wɛ bɛ nyí xó gbá jí zɔ́ wá tɔ́ xeɖé xeɖé.
Il n’y a pas lieu de s’inquiéter car il suffit de faire confiance aux hommes et aux femmes qui en sont les citoyens directs donc les premiers concernés.	1279- Adohuhu ɖémɛ ǎ ɖó è vɛ́ ko ɖó jiɖiɖe kpowun dó sunnu kpódó nyɔ̌nu kpan ée nyí tòví bɔ xó nɛ́ kàn jɛ nukɔn lɛ́ɛ é wú.
Donnons la bonne foi au départ aux hommes qui dirigent ces pays et laissons-les respecter les institutions que l’application de la Constitution a établies.	1280- Mì ní ɖeji dó tògán lɛ́ɛ wú sín bibɛmɛ bó jó yě dó nú ye ní wànǔ xwédó azɔxwé lɛ́ɛ ɖi lě sɛ́n dódó tò ɔ́ tɔn zɔ́n gbɔn lé ɖɔhun.
Pour modifier une Constitution, utilisons le moyen le plus simple.	1281- Bó ná dó ɖyɔ adà nú sɛ́n dódó ɔ́‚ mì ní zán walɔ vlɛkɛsɛ ɔ́ kpowun.
Et le moyen le plus simple le plus souvent, c‘est le référendum au lieu d’utiliser d’autres institutions à côté pour pouvoir la modifier.	1282- Bɔ wlɛnwin vlɛkɛsɛ kpowun hwe bǐ nù tɔn ɔ́‚ wɛ nyí tagbesɔ gannyǐ gannyǐ tò ɔ́ kplékplé tɔn‚ é kpé hú ɖɔ è zán azɔxwé lɛ́ɛ dó huzu adà ná.
Allons au référendum et si le référendum aboutit aux vœux de ceux qui dirigent le pays, tant mieux.	1283- Mì nú mǎ yì tagbesɔ gannyǐ gannyǐ tò ɔ́ kplékplé tɔn‚ ényí tagbesɔ ɔ́ gbò dó nǔ è bà wɛ mɛ ée sí acɛkpìkpà ɔ́ ɖè lɛ́ɛ tɔn jí ɔ́‚ xó fó.
Et si le référendum dit le contraire, on revient donc à la bonne foi et à l’esprit de la constitution, l’esprit qui constitue l’origine de la relation du contrat social entre les hommes dans un pays donné.	1284- Ényí tagbesɔ gannyǐ gannyǐ ɔ́ má ká gbó déjí ǎ ɔ́‚ kpódó ayi ɖagbe kpán ɔ́‚ è ná byɔ́ linlin sɛ́n dódó ɔ́ tɔn mɛ̀‚ linlin nɛ́ ée dɔn azɔxwé lɛ́ɛ kpódó tòví kpán cá é mɛ̀.
Je salue et je m’associe à tous ceux qui saluent cette décision qui honore d’abord l’homme et qui ensuite honore une pratique : c’est un geste politique, une politique que nous devons saluer, que nous devons continuer à appeler de nos vœux sur l’ensemble du Continent.	1285- Un dó gbè bó ká lɛ́ dɔn nyiɖee ɖò bǔ xá mɛ ée dó gbè nú gbetakɛn nɛ́ ée sɔ gbɛtɔ sù hwɛ̌ bó ká lɛ́ sɔ walɔ ɖé sù é : tòxó ɖiɖɔ sín walɔ ɖé wɛ‚ tòxó ɖiɖɔ è mì ɖó ná dó gbè é ‚ ée mì ná bà ná ɖó nú Aflika mìtɔn ɔ́ bǐ é.
Il n’y a pas raison de douter, je crois que les choses sont en marche.	1286- È ɖó ná xò nǔ kpɔ́n ǎ ‚ un ɖi ɖɔ nǔ lɛ́ɛ ko jɛ yìyì jí.
Les candidatures ici et là se multiplient.	1287- Alɔ sɔ bá ɖù gǎn lɛ́ɛ ɖò jijɛ jí wɛ.
On verra ce qui va se passer mais il n’y a pas lieu de douter du tout de la bonne foi de la personnalité que vous avez nommée.	1288- Mì ná kpɔ́n nǔ è ná jɛ é amɔ̌ nǔ xó kpɔ́n ɖè dó linlin ɖagbe mɛ ée mì ylɔ́ dó azinkpo jí ɔ́ ɖó é wú ǎ.
