fr	bbj
Sauf que après vérification des images dans leurs appareils aucune ne ressortait la compagnie de gendarmerie.	Dà' gaə́ pú lé mcèŋnyə̀ ntʉ́m m mə̂sîŋ máp sɔm lə pə́ wə́ da'tə́ dyə́ mkətú'.
Alors que les reporters s’attendaient à se voir purement et simplement relaxés ils seront curieusement gardés et ont été entendus.	Pə yɔ̌ dá'tə́ pə́ wə́ nə̂ pyáp gaə́ pú té wáp cɛ́ pú piŋ dwɔ́' wáp lwɔ́' nə́ŋ ntə́ŋtə́ wáp.
Celui- ci soupçonne que leurs déboires soient des manœuvres visant à les museler.	Mo yəŋ sɛ́ gaə́ pú bo nə̂ lə wáp yɔ gó' bə́ shə́ŋ nə́ nə sám shwə yáp.
« Un gendarme nous a demandé de faire très attention parce que nous étions dans le viseur.	Mú' kətú' kə ghɔ̌m bí pyə gaə́ pyə pɔ́m tə' nə̂kə́lə́ pú bə́ wə́ si wɔ́k.
La seconde en cours portait sur une affaire de pédophilie à Bamesso.	Yə nwə́ batə yə́pʉə́ə́ yə pú bə́ wə́ dyə́' á bə̂ yə́ pə zhwə̂ pǒ Banesso.
Dans cette affaire le commandant de la brigade de Bamesso est accusé d’avoir sodomisé quatre jeunes garçons.	Pú pə́ wə́ gaə́ Komaŋdǎŋ dyə́ mkətú' núŋ pú a bɛ pə́pʉə́ə́ mjʉ̀m.
Selon nos sources la confrontation des parties devaient se faire ce jeudi 3 juin 2021 à la compagnie de gendarmerie de Mbouda.	Pâ' pɔ́k pɔ séŋ wɔ́k á pû bə́ gɔ́ yú' gùŋ mghə̌ŋ wɛ́ Ntâmdzə ɔ 03 Dzʉ̂'bvʉ̀ 2021 dyə̂ Mkətú' pɛco' Mbouda.
Il est donc possible que la présence des journalistes ait suscité une panique chez les gendarmes ?.	Zhə́ a bə mkətú' cwɔ̀' pá' pə mə̂kwɛ̌ sí á lə́?
Cette question paraît évidente.	Hə́ŋtə yəŋ lə pə́ wə́ dʉ́mnyə̀.
La rédaction de camerounWeb vous propose l’intégralité du reportage réalisé par Canal 2 International.	Və mcùŋ camerounweb la'tə  mzhə̀ŋ pá' a nə cyə́tə́ â wɛ́ yə Canal 2 International də lə.
Barques des présumés contrebandiers.	Mkənú' pə lə fǔ də́ tsə́ sim ŋkó Ntʉ́m gùŋ.
Le pays d'origine de ces produits serait le Nigeria.	Pə́ tyə̂' tsə́ sim bɔ́ɔ pə́ fə́ m Nigeria.
Rappelons que le phénomène de contrebande et de contrefaçon sont devenus monnaie courante au Cameroun ces derniers temps.	Pə kámtə́  gaə́ nə́ lə fǔ də́ tsə́ sim ŋkó pú a nə́ nyàptə tsə́ sim cwəpǔŋ bə ǎ sa pé Cameroun nə́ mtâm mɔ̌.
Ils fabriquent des Guinness dans leur chambre à coucher à DoualaLes images sont hallucinantes.	Wáp nyaptə Guinness mtɔ̌dyə́ pú Douala mcìŋnyə̀ má bɔ́ɔ há sɔ́k fɔ̀kɔ́.
Un homme et une femme ont transformé leur domicile en une unité de production de bière frelatée.	Mu' mamjwǐ pú mu' tâmbɛ̌ bə wáp sə dyə̂ yap nə́ gə tsʉ' nə nyáptə́ bíà cwə̀pùŋ.
Elles répondront de leur acte devant les autorités judiciaires.	Wáp gɔ ghɔ kúŋ pú sá' wáp  nə́ ywə́ wáp gə lə.
Alex Ngono a déposé une plainte contre l’inconnu au commissariat du 6e à Etoudi.	Alex Ngono bə ě pútə́ mo tə e zhyə́ é wə̂ mkətú  6e Etoudi.
Dans la nuit du mardi 1er juin le jeune homme emprunte un taxi au lieu- dit Sonel Santa Barbara pour le quartier Mvan à Yaoundé.	Mu' mûkǔsəm kə mtsʉ̂'' tuɛsdɛ  ŋkó taxi sonɛl Santa Barbara nə ghɔ Mvan Yaoundé.
Les sièges- arrières du taxi étaient occupés par une femme et un homme dans la trentaine.	 Ta' mâmjwǐ pú ta' tâmbɛ̂  bə ě ghə gwɛ́ a ka' m̌ntá pə́ bə wáp cwə́ nə́ mkwɔk jʉ̀m.
Sans se douter du danger Alex prend place au siège arrière.	Alex kó zhʉ̀m pú a pú tə mɔktə nwə yə ǎ bóo ná' é lə.
À peine dans le taxi le conducteur de taxi et le jeune à l’avant engagent le débat sur le vaccin contre le Covid- 19 indique Alex.	Alɛx gaə́ e  nə̂ yə tə cwə́ sí fəŋ mətú pú mo yə e kə́ bə́ dzə̀ á tó' nə́ ghɔm  nwə nə́ siàp nə bɔ́m Covid 19.
Tout se passait bien jusqu’au moment où le monsieur assis près de lui passa sa main derrière son dos.	Wáp ghɔ̂ pə́ tə byà tə tâmbɛ̂ zhʉ̀m mâ' pú ě ŋkà'tə̌ é.
Surpris de cette attitude elle va essayer de ramener le monsieur à la raison.	A cyə̂ é e fotə̀ nə́ té tâmbɛ̂ zhʉ̌m é.
Les déclarations de Francine Claire Beyala ont fragilisé l’accusation qui n’a présenté aucun témoin.	Mghɔm Francine Claire Beyala hyá pə pútə̀ é bə wáp ka ghə bǎ tá' lə mnyə́ jɔ́.
« Il y a un doute qui plane et le tribunal ne peut pas statuer sur la base des supposition » a- t- elle conclu.	" E yá' gaə́ "" mɔ̀ktə̌ sí bə́ kúŋ lə nə́ŋ sá' mó tə cwá á pú am mkɔ̀tə̀""."
L’affaire a été mise en délibéré pour le 19 mai 2021.	Pú kě jáp tyə́' nə díŋtə mghɔm mtwɔ̂k shwə́ biŋ já' shɛ sɛ̂sǔ 19 nə́ sûnè 2021.
PARAGRAPHE DE LA DIRECTION DU JOURNAL OFFICIEL.	KAMKÉYWƏ́ DYƏ̂ FA' MCÙŊ GƆ̂PNA'.
elle assure la publication au Journal Officiel des annonces légales de toute nature.	Ê cyanyə́ mcuŋ pú a mco' guŋ mtìŋ wɛ́.
elle organise la promotion et la distribution du Journal Officiel sur toute l’étendue du territoire national et à l’étranger.	Ê ma' gə́ŋnyə́ nə́ŋ gə mzhə̀ŋ nə gaptə́ mcùŋ gɔ̂pna' ntʉ́m gùŋ ba mgùŋ dyə̀'.
Elle comprend quatre (04) services.	Á bə ǎ ghə dyə̌ fa' yápfʉə̀.
le Service de la Production.	Tsʉ' nə nyápə́.
le Service de la Promotion et de la Distribution.	Tsʉ' nə fiŋ də̀ŋ biŋ gaptə.
le Service Financier et Comptable.	Tsʉ' nə sɛ́ ŋkáp nə́ŋ jɔ́ zhyə́ myə́.
Les comptes de la Direction du Journal Officiel sont spécialement retracés dans le budget de la Présidence de la République.	 Mbɔ́ké dyə̂ fa' tâdyə̌ və mcuŋ bə pú cəŋtə ntútə́ ntʉ́m mzhəŋ nə sím ŋkâp Nə̀mò gùŋ.
Placé sous l’autorité d’un Chef de service le Service de la Collecte comprend deux (02) bureaux.	Â bə pú yáp nə bǔ ta' tâdyə̂ fa',tsʉ'fa' nə daktə bə ǎ ghə dyə̂ fa' yaə́pʉə́ə́.
le Bureau de la Collecte auprès des Administrations de l’Etat.	Dyə̂fa' nə dáktə ntʉ́m mtsʉ'fa' mkǎmgùŋ.
le Bureau de la Collecte auprès des Collectivités Territoriales Décentralisées.	Dyə̂fa' nə dáktə ntʉ́m mtsʉ'fa' mghə̌ŋlá'.
Placé sous l’autorité d’un Chef de service le Service de la Production comprend deux (02) bureaux.	Â bə pú yáp nə̂ bǔ ta' tâdyə̂ fa',tsʉ' fa' nə nyáptə́ bə ǎ ghə dyə̂ fà' yaə́pʉə́ə́.
le Bureau de la Préparation et de la Saisie.	Dyə̂fa' nə nyáptə́ nə́ŋ və̌.
Placé sous l’autorité d’un Chef de service le Service de la Promotion et de la Distribution comprend trois (03) bureaux.	Â bə pú yáp nə bǔ ta' tâdyə̂ fa' tsʉ' fa' nə fíŋ də̀ŋ biŋ gaptə bə ǎ ghə dyə̂fa' yaə́tá.
le Bureau des Ventes Directes et de la Distribution.	Dyə̂fa' nə fîŋ biŋ gaptə.
Placé sous l’autorité d’un Chef de service le Service Financier et Comptablecomprend quatre (04) bureaux.	Â bə pú yáp nə bǔ ta' tâdyə̂ fa',tsʉ'fa' nə sɛ̂  mzhəŋ ŋkáp bə ǎ ghə dyə̂fà' yápfʉə̀.
le Bureau de la Comptabilité.	Dyə̂fa' nə sɛ́ mzhəŋ ŋkáp.
La Caisse est tenue par un Régisseur de recettes désigné par le Ministre chargé des finances.	 Dwɔ̀k pwə yə ŋwâlǎ' ŋkàpə́  ntʉ́ é á nê gwim twɔ̀' ŋkáp gùŋ.
PARAGRAPHE DE LA DIRECTION DES AFFAIRES GENERALES.	KAMKÉYWƏ́ DYƏ̂FA'  MNWƏ LÂLǍ'A.
le Service de la Documentation et de la Bibliothèque.	Dyə̂fa' mwà'nyə̀.
le Service des Liaisons -Radio.	Dyə̂fa' cya mcùŋ-twɔk mcùŋ.
Placé sous l’autorité d’un Chef de service le Service du Personnel est chargé.	Â bə pú yáp nə bǔ ta' tâdyə̂ fa',tsʉ'fa' nə dé nwə́ nə mghɛ fà' gɔ.
de la gestion du personnel interne de la Présidence de la République à l’exception du personnel domestique du Palais de l’Unité.	Nə́ lê nwə nə́ mghɛ fa' ntʉ́m nəmo guŋ tə a cʉ́' pə́ pə sɔ̀k, pə khʉ́m tsʉ' pú a pə nɛ̂ cəŋ.
de la mise à jour systématique du fichier du personnel interne.	Nə́ le nwə nə́ tɛ̂ nə́ŋ sɛ́ dəŋ mghɛfa' ntʉ́m dyə́.
Il comprend deux (02) bureaux.	Ǎ ghə mdyə̂fa' mə́bʉə́ə́.
le Bureau du Personnel Fonctionnaire.	Dyə̂fà' mghɛ fa' gɔ̂pna'.
le Bureau du Personnel Non Fonctionnaire.	Dyə̂fa' mghɛ pə tə fa'fa' gɔ̂pna'.
Placé sous l’autorité d’un Chef de service le Service du Budget comprend deux (02) bureaux.	Â bə pú yáp nə bǔ ta' tâdyə̂ fa',tsʉ' fa' nə dé nwə nə́ mzhəŋ nə sím ŋkáp  bə ǎ ghə dyə̂fa' yaə́pʉə́ə́
le Bureau de la Préparation du Budget.	Dyə̂fa' nə nyáptə́ mzhəŋ nə sím ŋkáp.
le Bureau du Suivi de l’Exécution du Budget.	Dyə̂fa' nə díŋtə mzhə̀ŋ nə sím ŋkáp.
(1)Placé sous l’autorité d’un Chef de service le Service du Matériel comprend le Magasin et trois (03) bureaux.	Â bə pú yáp nə̂ bǔ ta' tâdyə̂ fa',tsʉ' fa' nə dé nwə nə́ kǎku bə ǎ ghə dyə̂ nə dwɔ́k kákù pú a dyə̂ fà' yaə́tá.
le Bureau du Matériel Roulant.	Dyə̂fa'  nə dé nwə nə̂ kǎkù mkwə̀.
le Bureau des Autres Matériels.	Dyə̂fa' nə dé nwə nə̂ pyəshə́ kákù
le Bureau de la Comptabilité -Matières.	Dyə̂fa' nə sɛ ŋkáp.
Le Magasin est placé sous la responsabilité d’un Chef -Magasinier ayant rang de Chef de bureau.	Dyə́ nə dwɔ́k káku bə́ nə̂ bǔ Tâdyə̂ dwɔk kǎku pú pîŋ bə́ ŋké é gaə́ tâdyə̂ dyə̂ fa᷆'.
: Placé sous l’autorité d’un Chef de service le Service de la Documentation et de la Bibliothèque est chargé.	Â bə pú yáp nə bǔ ta' tâdyə̂ fa' tsʉ' fa' nə dé nwə̀ nə́ mŋwà'nyə̌ gɔ pə́
de la gestion de la bibliothèque.	Lé nwə nə́ dyə̂ mŋwànyə̀.
le Bureau des Acquisitions.	Lé nwə nə́ dyə̂ fa' tsə́ tsyə́ pú yó lə.
Placé sous l’autorité d’un Chef de service le Service des Liaisons -Radio comprend trois (03) bureaux.	Â bə pú yáp nə́ bǔ ta' tâdyə̂ fa' tsʉ' fa' nə cyá mcuŋ-twɔ'mcuŋ bə ǎ ghə dyə̂ fà' yaə́tá.
le Bureau des Equipements Techniques.	Dyə̂fa' nə dé nwə nə̂ m mə̂séŋ.
le Bureau de la Maintenance.	Dyə̂fa' nə nyáptə́ m mə̂séŋ bɔ́ptə pɔ̌ptə́.
le Bureau de la Radio de Commandement.	Dyə̂fà' twɔ' mcuŋ nə há mcò'.
Placé sous l’autorité d’un Chef de service le Service de la Permanence est chargé.	Â bə pú yáp nə bǔ ta' tâdyə̂ fa' tsʉ' fa' nə dé nwə̀ nə́ pá'a fa' tə gɔ tíŋnyə́ á pə́ gɔ pə́
de l’élaboration des calendriers de permanence.	Nyaptə sɛ̂dzʉ̌ mghɛfà'.
de veiller au bon fonctionnement des équipements et installations de la salle de permanence.	Ghə gaə̂ guŋ m mə̂séŋ ghíŋ pəpúŋ.
du suivi du déroulement des permanences.	Ghə gaə̂ fà' kə̂ tiŋnyə́.
de l’élaboration d’un rapport hebdomadaire sur le déroulement des permanences.	Nə́ və bǎ yá lə́ gapdzʉ́ lə́ séŋ pá' fà' nə cyə́tə́ lə.
Le Chef du standard téléphonique a rang de Chef de bureau.	Tâdyə̂ khətyɔ́ gʉə́ bíŋ bə́ tâdyə̂ dyə̂ fà'.
PARAGRAPHE DU SECRETARIAT DES CONSEILS MINISTERIELS.	KAMKÉYWƏ́ DYƏ̂ FÀ' DWƆ̀' CÀM MCǓ'TƏ MŊWǍLÁ'
de la préparation des Conseils Ministériels des Conseils Restreints ainsi que de la diffusion des décisions prises au cours de ces réunions.	Pû ŋkó mcú'tə̀ bɔɔ dé nwə nə́ mcǔtə̀ mntɔ̀kɔ́ mŋwǎlá', mcǔtə̀ ŋkô pú a nə́ cyanə mkwə́tə̀ yə pú gaə lə.
du suivi de l’exécution des directives données au cours de ces réunions en liaison avec les structures internes compétentes.	Nə́ pá' pú wə́ dwɔ́' mcò' myə a fə́ mcútə bɔ́ɔ lə .
Il participe en outre à toutes les réunions interministérielles organisées par le Secrétariat Général de la Présidence de la République.	Ê bìŋ ŋkó gùŋ mcǔtə́ mŋwǎlâ' wɛ́ yə dyə̂ dwɔ' càm gʉə́ Nəmò gǔŋ Nké lə..
Le Secrétariat des Conseils Ministériels comprend outre le Secrétaire des Conseils Ministériels et son Adjoint trois (03) Chargés d’Etudes.	Dyə̂ dwɔ̀' càm mcú'tə̀ mŋwǎlá' bə ǎ ghə dwɔ' càm cú'tə̀ mntɔ̀kɔ́ mŋwǎlá' pú a pə mkwʉǐpû pyə́ pə́tá.
PARAGRAPHE DE L’OBSERVATOIRE DES RESSOURCES HUMAINES.	KAMKÉYWƏ́ TSɄ' NƏ DIŊTƏ́ MGHƐ FÀ'
de la collecte et de l’analyse des données relatives aux compétences nationales.	Nə́ là'tə̀ biŋ diŋtə nwə nə́ mzhyə̌nwə̀ ntʉ́m gùŋ.
de la confection et de la tenue du fichier y relatifs.	Nə́ nyaptə biŋ gwim mzhəŋ yə ǎ wə́ dé yá bɔ́ɔ lə.
de l’identification de l’inventaire et du suivi de l’évolution des carrières.	Nə́ kê mŋkhə mthə́ fà' nə́ŋ gə́ gaə́ á a ghííŋ .
des études prospectives relatives aux carrières.	Nə́  tìŋtə̀ ywə́ yə pə́ a kwítə mthə́ fà' lə.
de la participation à la formation et au recyclage des ressources humaines.	Nə́ ghə zhí'tə̀ pú a jɛ nə kwítə mghɛ fà'.
L’Observatoire des Ressources Humaines comprend outre son responsable un (01) Chargé de Mission et deux (02) Attachés.	Tsʉ' nə diŋtə́ mghɛ fà' bə ǎ ghə ta' tâdyə̌ dìŋtə̀ fà' gə mkwʉǐpû pyə́ pə́pʉə́ə́
PARAGRAPHE DE LA DIVISION LINGUISTIQUE ET DU BILINGUISME.	KAMKÉYWƏ́ DYƏ̂ FÀ'  NƏ́ MGHƆ̀M PÚ A MGHƆMBɄƏ́Ə́.
de tous les travaux de traduction et d’interprétation qui lui sont confiés par la Présidence de la République et les Administration rattachées.	Dé nwə nə̂ guŋ mfà' tútə̀ Nə̀mò gùŋ pú a mdyə̌ fà' gɔ́pnǎ' há lə.
de tous les travaux de révision des traductions des textes et documents officiels effectuées dans les Administrations publiques.	Dé nwə nə́ tsə́tə̀ mkéywə́ ntútə̀ tǔtə pú a mcúŋtə̀ gɔpna yə́ pú gə mdyə̌fa' gɔpna' lə.
du contrôle de la qualité linguistique de tous les textes législatifs et réglementaires devant être insérés au Journal Officiel.	Dé nwə nə̂ bǐnyə́ mghɔm ntʉ́m mkéywə́ mcò' myə pú gɔ cyanyə ntʉ́m cyə́mcùŋ gɔpna' lə.
de l’authentification des traductions à caractère officiel.	Dé nwə nə́ nîŋ nyə́nyɔ́ nə mfà' tútə́ myə́ ǎ wə́ dé gɔpna' lə.
de l’expansion du bilinguisme.	Nə́ ghə gaə̂ mghɔm mə́bʉə́ə́ ghé.
du suivi des activités du Programme de Formation Bilingue.	Nə́ lê pá' mzhəŋ zhí'tə̀ mghɔm mə́bʉə́ə́ bóó cyə́ lə.
la Section de Traduction de Langue Française.	Tsʉ'  tútə̀ ghɔm fəlaŋsí.
la Section de Traduction de Langue Anglaise.	Tsʉ'  tútə̀ ghɔm grísì.
la Section de Traduction de Langues Etrangères.	Tsʉ' tútə̀ mghɔm mgùŋ dyə̀'.
la Section de l’Encadrement de la Normalisation et des Technologies Nouvelles.	Tsʉ' mcú'tə̀.
la Cellule des Conférences.	Tsʉ' nə sɛ́tə̀ mnwə̀.
le Pool de Dactylographie et de Traitement des textes.	Tsʉ' nə də́ mə̂síŋ və̂ biŋ nyáptə́ mkéywə́.
une Unité de Traduction composée d’un Chef d’unité ayant rang de Chargé d’Etudes et comprenant dix (10) Chargés d’Etudes -Assistants.	Ta' tsʉ' tútə̌ bə ǎ ghə ta' tâdyə̌ , pú pîŋ bə ŋké é gaə́ tâdyə̌ kéywə́, bə ě ghə mkwîpû pyə́ 10.
du contrôle de qualité des traductions officielles.	Nə́ tìŋtə̀ mtútə̀ gɔpna'.
de l’encadrement professionnel des traducteurs.	Nə́ cîm thə́fà' pə tútə̀.
du suivi des unités de traduction dans les Administrations publiques.	Nə́ tìŋtə  mtsʉ' fà' tútə ntʉ́m mdyə̌ fà' gɔpna'.
de l’élaboration et de la diffusion de la terminologie officielle.	Nə́ nyàptə̀ bíŋ cyanyə mbǐnyə́ ghɔm gɔpna'.
de l’introduction et de l’application des technologies nouvelles en matière de traduction.	Nə́ lə cyə́ mcyànyə sə ntʉ́m mfà' tútə̀.
l’Unité de la Normalisation et de la Terminologie placée sous l’autorité d’un Chargé d’Etudes assisté de trois (03) Chargés d’Etudes -Assistants.	Tsʉ'  nə dé mzhə̀ŋ pú a mtsô nə̂ bǔ Gɛ Kê bə ě ghə kwîpǔ pə́tá.
l’Unité de l’Encadrement et du Contrôle de Qualité placée sous l’autorité d’un Chargé d’Etudes assisté de trois (03) Chargés d’Etudes -Assistants.	Tsʉ' nə ŋkwétə̀ mbínyə́ bíŋ diŋtə bə nə̂ bǔ tâdyə̌ kéywə́, bə ě ghə mkwʉîpû pyə́ 3.
l’Unité de Documentation placée sous l’autorité d’un Chargé d’Etudes assisté de deux (02) Chargés d’Etudes -Assistants.	Tsʉ'  mwà'nyə̀ pə́ nə̂ bǔ Gɛ Kê bə ě ghə kwîpǔ pyə́ pə́pʉə́ə́.
Elle comprend outre le Chef de cellule deux (02) Chargés d’Etudes et deux (02) Chargées d’Etudes -Assistants.	Â bə ǎ pìŋ gə́ tà' Tâdyə̌, Gɛ Kê pə́pʉə́ə́ bə wáp ghə mkwîpû páp pə́pʉə́ə́.
Le Chef du pool de dactylographie et de traitement des textes a rang de chef de bureau.	Tâdyə̌ tsʉ' də bvo mə̂síŋ və ywə́ bíŋ diŋtə mkéywə́ bə tâdyə̂ fà'
Sont rattachés au Secrétariat Général de la Présidence de la République.	Bə́ jú' bi dyə̂ fà' dwɔ̀' cam gʉə̂ Nə̀mò gùŋ.
L’organisation de chacune des Administrations rattachées fait l’objet d’un texte particulier.	Mzhəŋ bǎyálə́ tsʉ' gɔpna' lə bə pú ŋwà' ntʉ́m ta' kéywə́
Le Cabinet Civil est chargé.	Dyə̂ càm gɔ pə́ lé nwə̀:
de la Communication du Président de la République.	Nə́ cyànyə̀ mcùŋ Dôgùŋ.
Le Cabinet Civil est placé sous l’autorité d’un Directeur éventuellement assisté d’un Directeur Adjoint.	Dyə̂ cǎm bə́ nə́ bǔ ta' Tâdyə̌, bə ě kʉîpû e.
Le Cabinet Civil comprend.	Dyə̂ cǎm jú':
les Secrétariats Particuliers du Directeur et du Directeur Adjoint.	Dyə̌fà' dwɔ̀' càm Tâdyə̌ pú kwípû e.
Les Conseillers Techniques les Chargés de Mission et les Attachés effectuent tous les travaux qui leur sont confiés par.	Pə Mntɔkɔ́ gùŋ, Mntə̌m gùŋ pú a mkwuǐpû páp fa' mfà' myə:
le Directeur du Cabinet Civil.	Tâdyə̌ dyə̌ càm.
le Directeur Adjoint du Cabinet Civil.	Kʉîpǔ tâdyə̌ dyə̌ càm.
SECTION DES SECRETARIATS PARTICULIERS DU DIRECTEUR ET DU DIRECTEUR ADJOINT DU CABINET CIVIL.	Mdwò' càm Tâdyə̌ dǒ é pú kwîpǔ é Tsʉ́ mkhɔ Dôgùŋ.
Les services internes du Cabinet Civil comprennent.	Ntʉ̌m dyə̂ càm jú'.
la Cellule de Communication.	Tsʉ' nə cyányə́ mcùŋ.
la Division des Affaires Réservées.	Tsʉ' pǒtsə̂ dʉmtʉm.
PARAGRAPHE DU PROTOCOLE D’ETAT.	KAMKÉYWƏ́ NƏ ŊKƏ́KÁ DÔGÙŊ
Placé sous l’autorité d’un Chef de Protocole d’Etat éventuellement assisté d’un Adjoint le Protocole d’Etat est chargé.	À bə pú yáp nə̂ bǔ ta' Tâdyə̂ mzhəŋ nə ŋkə́ká Dôgùŋ e pə́cwə́ gə́ kwîpǔ e pə́ dé nwə
de l’accueil des hôtes du Président de la République.	Nə́ pyáp mghɔ Dôgùŋ.
de l’organisation des cérémonies officielles auxquelles assiste le Président de la République.	Nə́ nyaptə mzhəŋ mtyɛ̀' nwə myə  pû gɔ nə́ ghə̂ Dôgùŋ pə́ sí lə.
des invitations du Président de la République.	Nə ncî nə́ŋ ŋké mghɔ Dôgùŋ.
deux (02) Chargés d’Etudes.	Mghɛ Kê pə́pʉə́ə́.
trois (03) Chargés d’Etudes -Assistants.	Mkwîpǔ Mghɛ Kê pə́tá.
PARAGRAPHE DE LA CELLULE DE COMMUNICATION DU PRESIDENT DE LA REPUBLIQUE.	KAMKÉYWƏ́ TSɄ' NƏ CYÁ MCÙŊ DÔGÙŊ.
Placée sous l’autorité d’un Conseiller à la Communication la Cellule de Communication du Président de la République est chargée.	Â bə pú yáp nə bǔ ta' Gɛ mntɔkɔ́  nə́ mcyanyə̀, cyə́ mcyanyə̌ Dôgǔŋ gɔ pə́:
de l’exécution de tous les travaux de communication qui lui sont confiés par le Président de la République.	Lé nwə nə̂ gùŋ mcyanyə myə Dôgùŋ há bíí lə.
des relations publiques de la Présidence de la République dont elle est en tant que de besoin le porte -parole.	Də́ nwə nə́ sô fà' Dôgùŋ nə́ŋ bə́ cwə́ cyanyə́.
des relations avec la presse écrite la radio et la télévision en liaison avec le Secrétariat Général de la Présidence de la République.	Dé nwə nə̂ və mcùŋ, twɔ' mcùŋ gə́ twɔ' mcèŋnyə̀ pyə â fa' pú dyə̂ fà' Dwɔ̀' Càm gʉə̂ Nəmo gùŋ lə.
Placée sous l’autorité d’un Chef de Division éventuellement assisté d’un Adjoint la Division des Affaires Réservées.	Â bə pú yáp nə bǔ ta' tâdyə̂ fà', bə ě ghə tà' kwípǔ é pə́ cwə́ kwʉítə́ é ntʉ́m mfà' cam Dôgùŋ.
assure le Secrétariat Particulier du Président de la République.	Bə́ dwɔ́'  da' cam Dôgùŋ.
exécute toutes autres tâches qui lui sont confiées par le Président de la République.	Fá' gùŋ mfà' myə Dôgǔn há bíí lə.
Le Chef de la Division des Affaires Réservées et l’Adjoint ont respectivement rang et prérogatives de Conseiller Technique et de Chargé de Mission.	Tâdyə̂ fà' bìŋ bə́ há ntɔ̀kɔ́, kwʉîpǔ yə é kwʉítə́ é ntʉ́m mfà' cam Dôgùŋ pə̂ ntə̌m gùŋ.
CHAPITRE III :DE L’INTENDANCE DU PALAIS DE L’UNITE DES RESIDENCES ET PAVILLONS PRESIDENTIELS.	KÀM 3: NƏ́ WIM NƏMO GÙŊ GƏ́ TSɄ' CWƏ̂ DÔGÙŊ
de l’équipement et de l’entretien du Palais de l’Unité des Résidences Présidentielles et des Pavillons Présidentiels dans les aéroports.	Nə́ lê nwə nə́ kǎkù, nə́ nyaptə tšʉ' cwə̂ Dôgùŋ à lɔ́ ba m ntʉ̌m yɔ̌tamthə́
du fonctionnement du Palais de l’Unité.	Pá' Nə̀mò gǔŋ giŋ lə.
de la gestion du personnel domestique du Palais de l’Unité et des Résidences Présidentiels.	Nə́ lê nwə nə́ mghɛ fà' zhʉmdyə̌ Nə̀mò gùŋ pú a mtsʉ' cwə̂ Dôgùŋ.
de l’organisation et de la préparation matérielle des réceptions et des voyages officiels du Président de la République.	Nə́ nyaptə mcə̌tsʉ̂ bí Dôgùŋ pú am mghɔ pyə́, nə nyaptə mwákà fà' Dôgùŋ.
du parc automobile présidentiel.	Tsʉ' tʉ̂ mə́túà Dôgùŋ.
L’organisation de l’Intendance du Palais de l’Unité des Résidentiels et Pavillons Présidentiels est fixée par un texte particulier.	Ta' kéywə́ da'tə pá' nə́ wìm Nə̀mò gùŋ pú a tsʉ' cwə̂ Dôgùŋ.
Ils exécutent en outre toutes autres missions que leur confie le Président de la République.	Wáp fà' gùŋ mfà' myə Dôgǔn há bí pú lə.
CHAPITRE DU MINISTERE DE LA DEFENSE.	KÀM TSɄ' FÀ' ŊWÂLǍ'Á MSƏ̌ŊWÌ.
: Placé sous l’autorité d’un Ministre Délégué à la Présidence de la République le Ministère de la Défense est chargé.	Â bə pú yáp nə bǔ ta' ŋwâlǎ' yə ê dé nwə nə́ Nə̀mò gùŋ, ŋwâlǎ'á msə̌ŋwì gɔ pə́:
de l’étude du plan de défense.	Nə́ tìŋtə mzhəŋ nə byáp gùŋ.
de la mise en œuvre de la politique nationale de défense.	Nə sɛ̂ nwə nə̂ cî nə́ sá' gùŋ pə mpyáp gùŋ.
de la coordination et du contrôle des forces de défense.	Nə kwɔ̀tə̀ mfà' pə pyáp gùŋ.
de l’organisation et du fonctionnement des tribunaux militaires.	Nə́ sɛ̂ mzhəŋ pú a nə́ ghìŋ kúŋ mkətú'.
du suivi de la coopération militaire.	Nə́ lê nwə nə́ nə́ pə́mtə fà' mkətú'.
L’organisation du Ministère de la Défense est fixée par un texte particulier.	Ta' Kéywə́ da'tə mzhəŋ pá' wə́ nwâlǎ'a msə̌ŋwì gɔ pə́ lə.
CHAPITRE DE L’ETAT -MAJOR PARTICULIER DU PRESIDENT DE LA REPUBLIQUE.	KÀM NƏ̂ DÔMSƏŊWÌ DÔGÙN.
L’Etat -Major Particulier du Président de la République est chargé.	Dômsəŋwì Dôgǔn gɔ pə́:
de l’examen des affaires militaires qui lui sont confiées par le Président de la République.	Tiŋtə mfa' msə̌ŋwi myə Dôgǔŋ há bíí lə.
de l’étude des affaires militaires qui relèvent de la Présidence de la République.	Tìŋtə mfa' msə̌ŋwi myə ǎ bóó dé Nə̀mòguŋ lə.
des liaisons aériennes présidentielles.	Lé nwə nə́ mwákà yə Dôgǔn gə ntʉ́m mətua ta mthə́ lə.
L’organisation de l’Etat -Major Particulier est fixée par un texte particulier.	Ta' Kéywə́ da'tə mzhəŋ pá' dômsə̌ŋwì gɔ pə́ lə.
CHAPITRE DE LA DIRECTION DE LA SECURITE PRESIDENTIELLE ET DE LA GARDE PRESIDENTIELLE.	 KÀM NƏ́ DYƏ̂ FÀ' TÂDYƏ̌ MPYÁP  DÔGÙŊ PÚ A M MƏ́KÙ' DÔGÙŊ.
