en	tsn
Lobby group, Afriforum had since applied to question Ramaphosa on his role as the chair of the committee.	Setlhopha sa bangoki, Afriforum se sa le se kopile go botsa Ramaphosa ka ga seabe sa gagwe jaaka modulasetulo wa komiti.
And after passing this hurdle, next month President Ramaphosa will face another gruelling cross examination on his role as the country’s second in command.	Mme morago ga go feta kgwetlho e, mo kgweding e e latelang Ramaphosa o tlile go lebagana le e nngwe e e boima thata ya dipotsolotso mabapi le seabe sa gagwe jaaka moemedi wa bobedi wa taelo.
As former deputy president and now president of the country, Ramaphosa will, among others, try to rebut Brian Molefe’s testimony that he had been involved in state capture and the peddling of political influence for personal benefit.	Jaaka Motlatsamoporesitente wa maloba e bile jaaka Moporesidente wa naga Ramaphosa o tlaa, gareng ga tse ba bangwe, o leka go ganetsa bosupi jwa ga Brian Molefe jwa gore o nnile le seabe mo bosenying le go gweba ka tlhotlheletso ya sepolotiki go oketsa dikgetse tsa gagwe ka matlapa.
Molefe said Ramaphosa used his position as the country’s deputy president to protect and secure lucrative coal deals for mining giant Glencore after it gave him a stake and appointed him chairperson.	Molefe o rile Ramaphosa o dirisa maemo a gagwe jaaka motlatsamoporesidente go sireletsa le go babalela poelo e kgolo ya meepo ya malatlha a Glencore morago yam o modulasetulo.
He also said Ramaphosa and Public Enterprises Minister Pravin Gordhan brought back loadshedding at Eskom when they took over in 2018, saying they forced out skilled executives as part of a ploy to collapse the power utility and pave the way for its privatisation.	O rile gape Ramaphosa le Tonakgolo ya Dikgwebo tsa Setšhaba, Pravin Gordhan ba gakaditse go kgaoga ga motlakase kwa Eskom fa ba ne ba tsaya marapho ka 2018, ba ntshitse bakhuduthamaga ba ba nang le bokgoni jaaka leano la go ya ka karolo ya leano la go phutlhamisa maatla a motlakase le go tlhagolela ditheo tse di ikemetseng tsela.
Meanwhile, the ANC has reiterated its support for the State Capture Commission ahead of President Cyril Ramaphosa’s appearance before the commission on Wednesday and Thursday.	Re sa ntse re le foo, mokgatlho wa ANC o gateletse tshegetso ya yona mo Khomišeneng ya Dipatlisiso tsa bosenyi ka go tlhagelela ga Moporesitente Cyril Ramaphosa kwa Khomišene ka Laboraro le Labone.
ANC National Executive Committee member, Nomvula Mokonyane, says the ANC President knows what he is expected to respond to and will be able to put things into perspective.	Tokololo ya komiti ya khuduthamaga ya bosetšhaba ya ANC, Nomvula Mokonyane, a re Moporesidente wa ANC o itse se a solofetsweng go se arabela le go baya dilo mo pepeneneng ka mokgwa o o tlhaloganyesegang.
The ANC has reiterated its support for the State Capture Commission ahead of President Cyril Ramaphosa’s appearance before the commission on Wednesday.	ANC e gateletse tshegetso ya yona yakhomišhene ya kgapo-puso pele ga gore moporesitente Cyri7l Ramaphosa a tlhagelele fa pele ga khomišhene ka Laboraro
Ramaphosa, who will testify in his capacity as ANC president, is expected to be questioned about his tenure as deputy president of the ANC and the country.	Ramaphosa yo a tlileng go neela bosupi mo tirong ya gagwe jaaka Moporesidente wa ANC, o solofelwa go botsolotswa ka ga seabe sa gagwe jaaka Motlatsa Moporesidente wa ANC le naga.
He is also expected to tell the commission what he knows about the alleged state capture said to have taken place during the Zuma administration.	Gape o tshwanetse go bolelela Khomišene ka se a se a se itseng ka ga ditatofatso tsa bosenyi mo pusong e e tlhageletseng ka nako ya puso ya ga Zuma.
ANC National Executive Committee member, Nomvula Mokonyane, expresses confidence in the leader of the governing party.	Tokololo ya komiti ya khuduthamaga ya bosetšhaba ya ANC, Nomvula Mokonyane, o tlhalosa ka matsetseleko mo moeteledipeleng wa lekoko le le busang.
Mokonyane also touched on the party’s step aside resolution, describing it as a sensitive issue.	Mokonyane le ena o amile tshwetso ya lekoko ya go sekega maloko, o e tlhalosa e le kgang e e masisi.
The resolution stipulates that ANC members who are charged with serious crimes including corruption should step aside until their court cases are finalised.	Tshwetso e e kaya gore maloko a ANC a a latofadiwang ka bonokwane go akaretswa le bosenyi ba tshwanetse go sekegwa go fitlha kgotlatshekelo e e konosetsa dikgetse tsa bona.
Party Secretary-General Ace Magashule is among those expected to step aside by the end of the month.	Mokwaledikakaretso Ace Magashule ke mongwe wa ba ba lebanweng ke go sekegwa mafelo a kgwedi.
Anything that seeks to divide the ANC needs careful management and what is of importance is for us in the leadership of the ANC to reflect on how we manage the implementation of resolutions.	Sengwe le sengwe se se batlang go aroganya ANC se tshwanetse go tsamaisiwa ka kelotlhoko mme se se botlhokwa mo go rona jaaka baeteledipele ba ANC ke go akanya gore re ya go tsenya jang ditshwetso mo tirisong.
This is not the only resolution, there are many other resolutions that we to give our all in dealing with them, says Mokonyane.	Ga se tharabololo eno fela, go na le tse dingwe tse dintsi tse ba ka di pharang ka tsona go sugana le bona, ga bua Mokonyane.
Various ANC stakeholders have asked the party’s NEC to rethink the resolution, with some saying it should be suspended until at least the next ANC national conference or general council.	Ba beeletsi ba ANC ba ba farologaneng ba kopile Komiti ya Bosetšhaba ya dikgato-kgalemo go lebelela sešwa tshwetso e mabarebare ba reng o tshwanetse go sekegiwa go fitlhelela ka khonferenseng ya Bosetšhaba le Khansele ya kakaretso e e latelang.
ANC Women’s League says the Step Aside resolution will further fracture the party:	Mokgatlho wa Basadi wa ANC wa re tshwetso ya go sekegiwa ga maloko e tlile go etegetsa go thubega ga lekoko.
Gauteng ANC Deputy Chairperson and Education MEC, Panyaza Lesufi, has apologised on behalf of the governing party for how it has treated ANC MP, Jacqui Mofokeng.	Motlatsa-Modulasetulo wa ANC le Tonakgolo ya tsa Thuto mo Gauteng, Panyaza Lesufi, o kopile go inelwa matsogo metsing boemong jwa lekoko le le busang ya ka tsela e ba neng ba tshola Jacqui Mofokeng ka teng.
Lesufi says Mofokeng was overlooked by the organisation she served and loved.	Lesufi a re Mofokeng o ne a ikgatholoswa ke mokgatlho o a o diretseng e bile a o rata.
He was speaking at Mofokeng and her daughter Thato’s funeral service in Centurion, south of Pretoria.	O ne a bua kwa tirelo phitlhong ya ga Mofokeng le morwadie Thato kwa Centurion, borwa jwa Pitori.
The former Gauteng MPL passed away at her home last Thursday, a day after her daughter succumbed to COVID-19.	Mofokoeng o tlhokafaletse kwa ga gagwe Labone o o fetileng, letsatsi morago ga morwadie a sena go tlhaselwa ke Covid-19.
Relatives say Mofokeng had recuperated and couldn’t handle the passing of her only child.	Balosika ba re Mofokeng o ne a fodile mme o ne a seke a kgona go itshokela go tlhokafala ga ngwana wa gagwe wa bofelo.
Lesufi described her as an exceptional worker, who got little recognition.	Lesufi o mo tlhalosa jaaka modiri yo o kgethegileng, yo o a sa tlotlomadiwang.
Comrade Jacqui loved this movement but I must declare that this movement also hurt comrade Jacqui.	Khomoreiti Jacqui o ne a rata mokgatlho o mme ke tshwanetse ke tlhomamisa gore mokgatlho o ga wa tsaya Khomoreiti Jacqui sentle.
Her choice to leave the province to go to Cape Town was not an easy choice.	Tshwetso ya gagwe ya go tswa mo porofenseng go ya kwa Kapa e ne e le tshwetso e e seng bonolo.
To her was it was a healing process and to get out of the poisonous situation that continued to undermine her, says the ANC Deputy Gauteng Chairperson.	Go ya ka ena e ne e le tsela ya go ikhutsa le go tswa mo maemong a a kotsi a a neng a tsweletse go mo nyatsa, ga bua jalo Motlatsamodulasetulo wa Mokgatlho wa ANC kwa Gauteng.
Jacqui Mofokeng and daughter laid to rest	Jacqui Mofokeng le morwadie ba robetse boroko jwa leruri.
Mofokeng was also described as a strong advocate for the protection of women and children as well as other vulnerable groups.	Mofokeng o ne a tlhalosiwa jaaka mmueledi wa segatlhamelamasisi wa tshireletso ya bana le basadi gammogo le makala a mangwe.
In Parliament, in a short time she’s been there we’re going to miss her because she was in three committees and she was felt in those three committees.	Mo Palamenteng, ka nako e e khutshwane nnile teng re tlile go mo tlhologelelwa ka gonne o ne a le mo Dikomiting tse tharo e bile o ne a itsege mo dikomiting tse tharo tseo.
Newcomer as she was there of course nobody in police matter would beat Jacqui because she started long time ago.	Ga go ope yo a neng a ka gaisa Jacqui mo go tsa sepodisi ka ntlha ya fa e sa le a simolotse bogologolo.
So really, we’ve lost a woman, a woman we thought was still looking forward to some years helping push Parliament where it can be, said the Speaker of Parliament, Thandi Modise.	Oriana, re latlhegetswe ke mosadi, mosadi yo re neng re nagana gore re santse re tlaa ithuta mo go ena dingwaga tse dingwe go thusa Palamente, ga bua le Sebui sa Palamente, Thandi Modise.
Her family described her as their pillar of strength and a lover of finer things.	Ba lelapa la gagwe ba mo tlhalosa jaaka pilara ya bone e e molemo thata e bile a rata dilo tse di bonolo.
It’s a double take, her and her daughter at the same time and we accept our fate that it’s a COVID environment and were of those who mourn in our country for this carnage, which I hope will stop very soon.	E maphatha mabedi, ena le morwadie ka nako e le nngwe mme re amogela tlholelo ya rona gore ke tikologo e e dikaganetsweng ke COVID le gore e ne e le bangwe ba ba hutsafetseng mo nageng ya rona ka ntlha ya maso, a ke dumelang gore a tlile go ema mo nakong e e sa fediseng pelo.
She was a snappy dresser. She had a bright mind and all her life she’s been fighting gender oppression, family representative, Justice Dikgang Mosekene, said.	O ne a apara bontle. O ne e le podimatseba e bile mo botshelong jwa gagwe o ntse a lwantsha dikgatelelo tsa bong, lelapa, Moatlhodi Dikgang Mosekene, a rialo.
Mofokeng has been laid to rest at the Lyttleton cemetery.	Mofokeng o robaditswe kwa mabitleng a Lyttleton cemetery.
She’s survived by her mother, a brother and sister.	O tlogela mmaagwe, morwarraagwe le kgaitsadie.
Her daughters remains will be cremated on Wednesday.	Setopo sa ngwana wa gagwe wa mosetsana se tlile  go fisiwa ka Laboraro.
Former Mineral Resources Minister, Mosebenzi Zwane has admitted to the State Capture Commission that he appointed two advisers without any knowledge of what they were doing for a living.	Tona ya maloba ya Diminerale, Mosebenzi Zwane o amogetse kwa Khomišeneng ya Dipatlisiso tsa bosenui mo pusong gore o thapile bagakolodi ba le babedi ntle le kitso ya gore ba ntse ba itshedisa ka eng mo botshelong.
He told the commission that Malcolm Mabaso and Kueban Moodley were appointed as his advisers because he could trust them.	O boleletse Khomišene gore Malcolm Mabaso le Kueban Moodley ba thapilwe jaaka bagakolodi ba gagwe ka gore o ka ba tshepa.
Both Mabaso and Moodley were in business with one of the Gupta brother’s business associates, Salim Essa but Zwane insists that he wasn’t aware of their business interests.	Bobedi jo, Mabaso le Moodley ba ne ba le mo kgwebong le mongwe wa barwa Gupta, Salim Essa mme Zwane o gatisa fa a ne a sa lemoge ka ga kgwebo ya bona.
He told the commission that Mabaso was appointed due to his good grasp of legal matters despite not having a legal qualification.	O boleletse Khomišene gore Mabaso o thapilwe ka ntlha ya kitso ya gagwe mabapi le tse di amanang le molao ntle le thuto ya semolao.
Asked what kind of business Mabaso was doing, Zwane responded I think he had done communications, but I can’t remember his proper qualifications.	O botsitswe gore ke mofuta ofe wa kgwebo e   Mabaso a e dirang, Zwane o fetotse ka gore “ke akanya fa Mabaso a dirile dithuto tsa tlhaeletsano, mme ga ke gopole dithuto tsa gagwe sentle.
Zwane has told the State Capture Commission that he had to use the Gupta’s private plane while on an official trip from Switzerland to India because he was sick.	Zwane o boleletse Khomišene ya Dipatlisiso tsa bosenyi mo pusong gore o ne a tshwanetse go dirisa sefofane sa poraefete sa boGupta mo loetong la semmuso go tswa kwa Switzerland go ya India Ka gonne o ne a lwala.
Zwane travelled to India to meet investors despite losing his voice, while on a trip to Switzerland.	Zwane o tsere loeto go ya kwa India go kopana le babeeletsi kwa ntle ga go latlhegelwa ke lentswe, fa a ne a le mo loetong go ya kwa Switzerland.
Deputy Chief Justice Raymond Zondo asked Zwane why he couldn’t cancel his trip if he was sick.	Motlatsa Moatlhodimogolo Raymond Zondo o botsitse Zwane gore ke eng a ne a sa ikgatolose loeto lwa gagwe fa e le gore o ne a lwala.
I didn’t cancel the trip despite not feeling well because it was an issue that will go away tomorrow (sic).	Ga ke a ikgatolosa loeto ka ntlha ya go ritlanyana gonne e ne e le lebaka le le ka se ikgatolosiweng.
EFF leader, Julius Malema, has encouraged all South Africans to fight for the land in order to work it and produce food for the nation.	Moeteledipele wa EFF Julius Malema, o rotloeditse Maaforikaborwa go lwela lefatshe go kgontsha tiro le go roba dijo tsa setšhaba.
Malema was addressing party members at Freedom Day celebrations in Atteridgeville west of Pretoria.	Malema o ne a bua a ka letsatsi la kgololosego kwa Atteridgeville kwa Bophirima jwa Pitori.
He says if freedom is anything to be celebrated, it must mean that all citizens have access to the land.	A re fa e le gore kgololosego ke nngwe ya tse di tshwanetseng go ketekwa, e kaya gore baagi botlhe ba na le tetla ya lefatshe.
He says its uncalled for that 90%of the land is still in the hands of the minority groups in South Africa.	A re ke matlhabisaditlhong gore diperesente di le masomearobongwe tsa lefatshe di santse di le mo diatleng tsa Basweu mo Aforikaborwa.
Yet we are called upon to celebrate Freedom Day landlessness, without food, he added.	Gajaana re gwetlhiwa go keteka Letsatsi la Kgololosego re sena lefatshe, mo tlalengdijo, a tlaleletsa.
Advocate Tembeka Ngcukaitobi talks about land injustice .	Mmueledi Tembeka Ngcukaitobi o bua ka ga go tlhoka toka mo lefatsheng.
On the upcoming election, the EFF leader says while the party is ready, it will take a lot of effort and determination for his party to make it to the top during the upcoming local government elections because of the coronavirus pandemic.	Mo ditlhophong tse di latelang, moeteledipele wa EFF a re ka lekoko le setse le eme sentle, go tlaa tsaya nako le maikemisetso go ya kwa setlhoeng ka ditlhopho tsa dipusoselegae tse di tlang ka ntlha ya leroborobo la twatsi ya Khorona.
Government announced last week that the elections will be taking place on October 27.	Puso e itsisitse mo bekeng e e fetileng gore ditlhopho di tlaa nna teng ka kgwedi ya Diphalane a tlhola malatsi a le someamabedi le bosupa.
Malema had called for the elections to be postponed until 2024, saying that holding the elections this year would deprive opposition parties from campaigning freely and fairly.	Malema o tshitshintse gore ditlhopho di busediwe kwa morago go fitlha ka ngwaga wa 2024, o kaya fa ditlhopho tsa ngwaga o di tlile go kgoreletsa makokokganetso go tswa letsholo la bontlhopheng sentle le ka tlhamalalo.
When we say let’s postpone the elections, we want to see the behaviour of the pandemic, because elections are rallies; elections are door to door.	Fa re bua ka katoloso ya ditlhopho, re batla go bona mokgwa wa leroborobo, ka gonne ditlhopho ke kopano; ditlhopho ke kotikoti mo malapeng.
How can you do elections without door to door?	O ka dira ditlhopho jang kwa ntle ga go tsena mo malapeng?
President Cyril Ramaphosa has reminded South Africans that participating in Local Government Elections will give them an opportunity to get rid of corrupt leaders.	Moporesidente Cyril Ramaphosa o gakolotse Maaforikaborwa gore go tsaya karolo mo ditlhopong tsa pusoselegae go tlaa ba naya tšhono ya go tlosa baeteledipele ba dinokwane.
He was delivering the keynote address in Botshabelo in the Free State to celebrate Freedom Day.	O ne a neelana ka puokgolo kwa Botshabelo mo Foreisetata go keteka Letsatsi la Kgololosego.
Tuesday marks 27 years since the first democratic elections in South Africa on 27 April 1994.	Labobedi ke letshwao la dingwaga di le 27 e sale ditlhopho tsa ntlha tsa temokerasi mo Aforikaborwa ka di 27 Moranang 1994.
Ramaphosa also says the country’s leaders must use the day to reflect on the missteps that have been taken place over the last 27 years.	Ramaphosa a re baeteledipele ba naga ba tshwanetse go dirisa letsatsi le go lebelela diphoso tse di dirilweng mo dingwageng di le someamabedi le bosupa tse di fetileng.
He says the leaders must understand that the dream of 1994 is yet to be fulfilled.	A re baeteledipele ba tshwanetse go tlhaloganya gore ponelopele ya 1994 e santse e tshwanetse go diragadiwa.
It cannot be after 27 years of our democracy; our people are still being deprived of even the most basic services such as water and sanitation because of poor planning and incompetence of some of us.	E ka se nne morago ga dingwaga di le 27 tsa temokerasi ya rona; Batho ba rona ba santse ba sokola fela ka ditirelo tsa motheo jaaka metsi le kgeleloleswe e e bokoa ka ntlha ya thulaganyo le bokgoni mo tirong ya rona.
Due to mismanagement or corruption of some of us, it cannot be that access to housing, education and decent health care are being undermined because those tasked with service delivery do not care enough.	Ka ntlha ya tsamaiso e e sokameng kgotsa bosenyi mo bangweng ba rona, go ka sekgonege gore phitlhelelo ya matlo, thuto le boitekanelo di nyefolwe ka gonne ba ba neilweng tiro ya thebolelo ya ditirelo ga ba dire go tlala seatla.
The President says the fact that the dream of 1994 has not yet been fulfilled and has led to frustrations among South Africans.	Moporesidente a re baeteledipele ba tshwanetse go tlhaloganya gore ponelopele ya 1994 e santse e ise e diragadiwe e bile e tlisitse ketsaetsego mo Maaforikaborweng.
When we resort to violent demonstrations when we resort to burning, looting and the destruction of property; we are undermining the very cause that we seek to advance.	Fa re fetogela go dira ditshupetso le tirisodikgoka fa re le mo mathateng, go utswa le tshenyo ya dithoto; re busetsa morago se re eletsang go se tokafatsa.
We are also undermining the democracy that our Constitution offers to us.	Re nyatsa tetla e re e reboletsweng ke Molaotheo wa rona wa temokerasi.
Ramaphosa has promised to visit the troubled Winburg in the Free State after the 2021 Freedom Day commemoration was moved from Winburg to Botshabelo.	Ramaphosa o solofeditse go etela kwa Winburg mo Foreisetata morago ga segopotso sa letsatsi la Kgololosego la 2021 le sena go tlosiwa kwa Winburg go ya Botshabelo.
He says the change of plans was for logistical reasons.	A re go fetola maano a e ne e le gore mabaka a dikarabo.
Ramaphosa has committed to visit the area this year to listen to the concerns of the community members.	Ramaphosa...... e ineetse go etela kgaolo e ya ngwaga o go reetsa matshwenyego a maloko a baagi.
As the country commemorates Freedom Day, KwaZulu-Natal Premier Sihle Zikalala has paid tribute to the late struggle icon, Charlotte Maxeke and the first ANC President John Langalibalele Dube.	Jaaka naga e ikgopotsa Letsatsi la Kgololosego, Tonakgolo ya KwaZulu-Natal Sihle Zikalala o neetse tlotla go mogaka, Charlotte Maxeke le Moporesidente wa ntlha wa ANC John Langalibalele Dube.
Zikalala was speaking in Ohlange north of Durban.	Zikalala o ne a bua kwa Ohlange Bokone jwa Durban.
He laid a wreath on the grave of Dube along with the Dube family.	O beile dikgare mo lebitleng la ga Dube ga mmogo le ba lelapa la ga Dube.
He says the two leaders have paved the way for today’s generation to enjoy freedom.	A re bobedi jo bo tlhagotse tsela e tshika ya gompieno e tlaa itumelelang kgololosego.
We came here because this year marks 150 years since the birth of Mme Charlote Maxeke, but it is 150 years since the birth of Baba John Langalibalele Dube.	Re tlile kwano ka gonne ngwaga o ke wa dingwaga di le lekgolo le masomeamatlhano go tloga ka botsalo jwa ga Mme Charlote Maxeke fela ke dingwaga di le lekgolo le masomeamatlhano go tloga ka botsalo jwa ga Rre John Langalibalele Dube.
To us, he is one of those who are the symbol of freedom, he is one of those who are the path finders of our liberation struggle.	Mo go rona, ke mongwe wa sesupo sa kgololosego, ke mongwe wa ba ba tlhagotseng tsela ya rona ya kgololosego.
We are here today knowing quite well that South Africa has attained and achieved a lot under the democratic dispensation.	Re fa gompieno ka go itse sentle gore Aforikaborwa e dirile le go fitlhelela go le gontsi ka fa tlase ga puso ya temokerasi.
Contrary to many things that are said, we are living in a South Africa that enjoys equality and that would not have happened before 1994.	Go dilo di le dintsi tse di re buileng, re tshela mo nageng e e itumelelang tekatekano e bile seo se ne se ka se diragale pele ga 1994.
EFF leader Julius Malema has encouraged all South Africans to fight for the land in order to work it and produce food for the nation.	Moeteledipele wa EFF Julius Malema o rotloeditse Maaforikaborwa otlhe go lwela lefatshe re ba kgone go dira mo go lona le go ntshetsa setšhaba dijo.
Malema is at Atteridgeville in Pretoria, commemorating Freedom Day along with thousands of EFF supporters at the Capital city.	Malema o kwa atteridgeville kwa Pitori, o keteka Letsatsi la Kgololosego le diketekete tsa balatedi ba EFF mo toropokgolong.
He says its uncalled for that 90% of the land is still in the hands of the minority groups in South Africa.	A re, ga go a siama gore 90% ya lefatshe e be e sa ntse e le mo diatleng tsa ditlhopha tsa palonnye mo Aforikaborwa.
The African National Congress (ANC)	Lekoko la Bosetšhaba le le busang (ANC)
Youth League in Limpopo has weighed in on the party’s step aside resolution.	Mokgatlho wa Bašwa kwa Limpopo o lebelela ka leitlho le le ntšhotšho tshwetso ya lekoko ya go sekegiwa ga maloko.
It has called on the ANC National Executive Committee to reconsider the decision, saying it will deepen divisions in the party.	Go akgetswe fa Komiti ya Khuduthamaga ya Bosetšhaba ya ANC go sekaseka gape tshwetso e, ka gore e tlaa thuba lekoko ka bogare
The resolution stipulates that ANC members who are charged with serious crimes, including corruption, should step aside until their court cases are finalised.	Tshwetso e e kaya gore maloko a ANC a a bonwang molato ka bosenyi jo bo masisi, go akaretsa le bonweenwee, ba tshwanetse go sekegiwa go fitlha go konosediwa dikgetse tsa bona kwa kgotlatshekelo.
ANC NEC Members charged with corruption or other serious crimes must step aside within 30 days.	Maloko a Komiti ya Khuduthamaga ya Bosetšhaba ya dikgalemo ya ANC  a a bonweng molato wa bogodu kgotsa dingwe tsa bonwenwee jo bo masisi ba tshwanetse go sekegiwa mo malatsing a le 30.
The leagues spokesperson, Nyiko Bembani, says the resolution is a witch-hunt aimed at eliminating political enemies in the party.	Sebueledi sa mokgatlho, Nyiko Bembani a re se ke tshwetso e maikaelelo a yona e leng go fedisa manaba a sepolotiki mo lekokong.
The ANC Youth League in Limpopo calls on the ANC NEC to carefully consider the possible consequences of the implementation of the step aside principle as it might have far-reaching ramifications on the state of the organisation.	Mokgatlho wa Bašwa wa ANC kwa Limpopo o ikuela go Komiti Khuduthamaga ya Bosetšhaba go akanya ka kelotlhoko le ka ditlamorago tsa go tsenngwa tirisong ga Molao wa kgato e e kwa thoko jaaka go ka nna le mafaratlhatlha a a boitshegang mo pusong ya mokgatlho.
We call on the African National Congress National Executive Committee, a structure of the apex of the organisation, to trickle down the guidelines at the national general council before implementing these guidelines.	Re ikuela mo Komiti Khuduthamaga ya Bosetšhaba ya Lekoko la Bosetšhaba, thulaganyo ya dintlha tsa mokgatlho, go lebelela dikaelo tse kwa Khansele-kakaretso ya Bosetšhaba pele di tsenngwa tirisong.
On Monday, Fezile Dabi regional co-ordinator in the Free State, Reagan Booysens, said the region will interdict the stance on the step aside resolution.	Ka Mosupologo, Fezile Dabi Morulaganyi wa Kgaolo mo Foreisetata, Reagan Booysens a re kgaolo ga e tle go inyalana le tshwetso ya go sekegwa ga maloko.
The region said it had consulted all the ANC branches in the province in making sure that the party’s secretary-general, Ace Magashule, gets the maximum support that  according to Booysens he deserves.	O rile kgaolo e etetse makalana otlhe a ANC mo porofenseng go netefatseng gore Mokwaledi-Kakaretso, Ace Magashule o amogela tshegetso Booysens a reng o a e tlhoka.
ANC Fezile Dabi region says it will interdict NEC if Ace Magashule steps aside.	Kgaolo ya Fezile Dabi ya ANC ya re e ka se dumalane le Komiti Khuduthamaga ya Bosetšhaba  ya dikgalemo fa Ace Magashule a ka sekegiwa.
This comes as the 30-day period during which Magashule must step aside, fast runs out.	Se se itshupa jaana pakeng ya malatsi a le masomeamararo ya gore  Magashule a sekegiwe ka bonako.
Magashule is facing corruption charges among others.	Magashule o lebanwe ke ditatofatso tsa bonweenwee gareng ga babangwe.
Addressing the media in Parys, Booysens said: We are going to interdict that (step aside) thing, we just waiting for the due date and we are going to interdict that decision.	Booysens o bua le bobegakgang kwa Parys o rile: Re tlile go emisa (tswhetso ya go sekegwa ga maloko), re emetse letlha la teng mme re tlile go emisa tshwetso eo.
We know the decisions we took at Nasrec and branches are talking about interdicting, because of the decisions they took in Nasrec.	Re itse ditshwetso tse re di tsereng kwa Nasrec le makala a a buang ka ga se, ka ntlha ya go ditshwetso tse di tserweng kwa Nasrec.
Ekhuruleni ANC wants NEC to rethink the Step Aside resolution.	ANC kwa Ekhuruleni e batla gore Komiti Khuduthamaga ya Bosetšhaba ya dikgalemo e kakanya sešwa ka tshwetso ya go sekegiwa ga maloko.
Nomachule Gigaba made it clear that she would rather not have testified at the State Capture Commission.	Nomachule Gigaba o totobaditse fa a kampo a se ke a naya bosupi kwa Khominešeneng ya Dipatlisiso tsa bosenyi mo pusong.
With her estranged husband Malusi’s failure to have her affidavit declared inadmissible, Nomachule was forced to take the stand.	Tlhalano ya gagwe le monna wa gagwe o retelelwa ke go nna le maikano a gagwe go ikgatolosiwa, Nomachule o ne a patelesega go tlhagelela.
She revealed that Malusi referred to the Guptas as his unofficial advisors when he was Minister of Public Enterprises.	O supile fa Malusi a ne a leba ba gaGupta jaaka bagakolodi ba gagwe ba e seng ba semmuso ka nako ya fa e ne e le +Tona ya Dikgwebo tsa Setšhaba.
He also received cash and various gifts and benefits from the family, including a BMW andR4.5million for their wedding and honeymoon in 2014.	O ne a amogetse madi le dimpho tse di farologaneng le dipoelo go tswa mo lelapeng, go akaretsa le BMW le didikadike tsa diranta tsa dimilione di lekana 4.5 (R4.5 million) ka lenyalo la bona le hanemoni ka 2014.
In an attempt to have Nomachule’s affidavit be found inadmissible, Gigaba’s lawyers had cited marital privilege as a reason why communications between the two should not be aired in public as well as the acrimonious nature of the couples on-going divorce proceedings.	Ka maiteko a go bona maikano a ga Nomachule a itlhokomolositswe, Babueledi ba kwa ga Gigaba ba tlhagisitse fa ditshwanelo tsa lenyalo e le lebaka le le dirileng gore tlhaeletsano magareng ga bobedi jo seke ya gasagasiwa mo pepeneneng gammogo le kgwetlho e banyalani ba kopanang le yona fa ba tlhalana.
Malusi ‘Gigaba’s lawyer Richard Solomons, argued, Communications that took place between Mr and Mrs Gigaba within the marital privilege context should not be aired in public.	Mmueledi wa ga Malusi Gigaba, Richard solomons, a re, ditlhaeletsano tse di diragetseng magareng ga Rre le Mme Gigaba mo bokaelong jwa ditshwanelo tsa lenyalo ga di a tshwanela go gasiwa mo phatlalatseng.
Secondly, we say because the acrimonious nature of the divorce proceedings, there is an inherent risk in the evidence and the veracity of the evidence that she will give and that will impact upon questions of credibility.	Sa bobedi, re bua jaana ka gonne bosilo jwa tlhalo, bo kotsi mo bosuping le boammaaruri mo bosuping jo a tlileng go bo neela e bile se se tlaa nna le seabe mo boikanyegong.
State Capture Inquiry: Malusi Gigaba’s application to cross-examine his estranged wife.	Dipatlisiso tsa bosenyi mo pusong: Kopo ya ga Malusi Gigaba go botsolotsa mosadi yo a tlhalaneng le ena.
Zondo also dismissed Malusi Gigaba’s bid to have proceedings in camera saying he would hear his application to cross examine her at a later stage.	Zondo gape o itlhokomolositse kopo ya ga Malusi Gigaba ya go botsolotsa mogatse wa maloba nako e e tlang.
So, it was a very reluctant Nomachule who took the stand on Monday evening.	Ka jalo, e ne e se maikemisetso a ga Nomachule go itlhagisa ka Mosupologo thapama.
Her lawyer Mpati Qofa read a letter she had addressed to Zondo.	Mmueledi wa gagwe Mpati Qofa o buisa lekwalo le le neng le lebane Zondo.
That is the first part to say I am unhappy with aspects of my affidavit for the reasons I have already announced and then she goes further to say that I come here with absolute respect for the commission and a civic duty I take very seriously.	Mo karolong ya ntlha ya re ga ke a itumelela pego e ke e ikanetseng ka ntlha ya mabaka a ke setseng ke a begile mme morago ga moo o ne a tswelela go bua gore ke tla fa ka tlotlo ya Khomišene le tiro ya semmuso e ke e tsayang tsia.
And she says, that being the case, I am married t to Mr Gigaba still.	Mme a re, le fa go le jalo, ke santse ke nyetswe ke Rre Gigaba.
She testified that a couple of months before Malusi became Public Enterprises Minister in October 2010, he told her that he had been told by Ajay Gupta he would get the position.	O neile bosupi gore dikgwedi pele Malusi a nna Tona ya Dikgwebo tsa Setšhaba ka kgwedi ya Diphalane 2010, o moreetse a re o lomilwe tsebe ke Aya Gupta gore o ka nna a neelwa maemo.
Responding to State Commission Evidence Leader Anton Myburgh, Nomachule says the frequency of his visits to the Gupta family’s Saxonwold home subsequently increased and he referred to the brothers as his unofficial advisors.	A fetola moeteledipele wa Dipatlisiso tsa Bosenyi mo pusong Anton Myburgh, Nomachule a re go boaboa  ga gagwe kwa ga Gupta kwa sabapong ya Saxonwold  go ne ga oketsega ka bonako e bile o ne a re barwa Gupata ke bagakolodi ba gagwe ba e seng ba semmuso.
