eng	kin
Daniel Molokhele, the spokesman for the opposition, said his party was against Mnangagwa leading talks and accused him of stealing Zimbabwe's last election in 2018. He said the protests would continue until Zimbabwe's economy gets back on track.	Daniel Molokhele, umuvugizi w’abatavuga rumwe n’ubutegetsi, yavuze ko ishyaka rye rirwanya Mnangagwa riyobora ibiganiro kandi akamushinja ko yibye amatora aheruka ya Zimbabwe muri 2018. Yavuze ko imyigaragambyo izakomeza kugeza igihe ubukungu bwa Zimbabwe buzasubira mu nzira.
	
UN Condemns Government Crackdown on Peaceful Protests in Zimbabwe	Umuryango w'abibumbye wamaganye igitero cya guverinoma ku myigaragambyo y'amahoro muri Zimbabwe
The U.N. human rights office is condemning a crackdown Friday in Zimbabwe by riot police on peaceful protesters in the capital, Harare. The agency is calling for an investigation into excessive use of force by security forces.	Ibiro bishinzwe uburenganzira bwa muntu muri Amerika biramagana igitero cyo ku wa gatanu muri Zimbabwe n’abapolisi bigaragambyaga ku bigaragambyaga mu mahoro mu murwa mukuru, Harare. Ikigo kirasaba ko hakorwa iperereza ku mikoreshereze ikabije y’inzego z’umutekano.
U.N. Human Rights spokesman Rupert Colville says there are better ways to deal with the populations legitimate grievances on the economic situation in the country than by cracking down on peaceful protestors.	Umuvugizi w’umuryango w’abibumbye uharanira uburenganzira bwa muntu, Rupert Colville, avuga ko hari inzira nziza zo guhangana n’abaturage bafite ibibazo byemewe ku bijyanye n’ubukungu bw’igihugu kuruta guhashya abigaragambyaga mu mahoro.
"We are deeply concerned by the socio-economic crisis that continues to unfold in Zimbabwe. While acknowledging efforts made by the government, the international community and the U.N. in Zimbabwe to mitigate the effects of the crisis and reform process, the dire economic situation is now impacting negatively on the realization of economic and social rights of millions of Zimbabweans," Colville said.	Duhangayikishijwe cyane n'ikibazo cy'imibereho n'ubukungu gikomeje kugaragara muri Zimbabwe. Mu gihe dushimira imbaraga guverinoma yashyizeho, umuryango mpuzamahanga ndetse na Leta zunze ubumwe za Amerika muri Zimbabwe mu rwego rwo kugabanya ingaruka z'ikibazo ndetse n'ivugurura, ubukungu bwifashe nabi. ubu bigira ingaruka mbi ku ishyirwa mu bikorwa ry'uburenganzira bw'ubukungu n'imibereho myiza y'abaturage ba miliyoni Zimbabwe , Colville.
Zimbabwes citizens are struggling with hyperinflation, which has sent prices soaring for essential commodities such as fuel, food, transportation and health care. Compounding the problems is the ongoing impact of cyclone Idai that hit Zimbabwe in March and a severe drought.	Abaturage ba Zimbabwes barwana na hyperinflation, yohereje ibiciro kuzamuka kubicuruzwa nkenerwa nka lisansi, ibiryo, ubwikorezi nubuvuzi. Kwiyongera ku bibazo ni ingaruka zikomeje kwibasirwa na serwakira Idai yibasiye Zimbabwe muri Werurwe n’amapfa akomeye.
The United Nations says one third of Zimbabwes population of 16 million people is in need of humanitarian aid.	Umuryango w'abibumbye uvuga ko kimwe cya gatatu cy'abaturage ba Zimbabwes batuye miliyoni 16 bakeneye ubufasha bw'ikiremwamuntu.
The fallout in terms of casualties and possible arrests from Fridays protests is not yet clear. But Colville tells VOA his office has received disturbing reports of human rights violations over the past few months.	Ikibazo cyo guhitanwa n’abahitanwa n’ifatwa ry’imyigaragambyo yo ku wa gatanu ntikiramenyekana. Ariko Colville abwira IJWI ibiro bye byakiriye raporo zibangamira ihohoterwa ry'uburenganzira bwa muntu mu mezi ashize.
"There are, as I said, reports coming through right now of very recent abductions, beatings and so on of activists or human rights defenders. We have not had a chance to verify those and look in detail apart from the two that occurred a few days ago," Colville said. "So, it is clearly a very tense situation."	Hariho nk'uko nabivuze, hari amakuru avugwa muri iki gihe ku ishimutwa rya vuba aha, gukubitwa n'ibindi nk'abarwanashyaka cyangwa abaharanira uburenganzira bwa muntu. Ntabwo twagize amahirwe yo kugenzura ibyo no kureba mu buryo burambuye usibye bibiri byabaye bike. hashize iminsi, Colville ati. "Rero, biragaragara ko ari ibintu bitoroshye."
Colville says state authorities have a duty to ensure peoples rights to freedom of expression and to protect the right to peaceful assembly.	Colville avuga ko abayobozi ba Leta bafite inshingano zo guharanira uburenganzira bw'abaturage bwo gutanga ibitekerezo no kurengera uburenganzira bwo guterana mu mahoro.
The U.N. human rights office is urging the government to engage in a national dialogue to ensure that civil society in all its guises can carry out its activities without fear of intimidation or reprisals for its work.	Ibiro by’uburenganzira bwa muntu by’umuryango w’abibumbye birasaba guverinoma kugirana ibiganiro by’igihugu kugira ngo sosiyete sivile mu buryo bwayo bwose ishobore gukora ibikorwa byayo nta gutinya iterabwoba cyangwa guhanwa kubera ibikorwa byayo.
	
Despite Oil and Gas Reserves, Africa Feels Pressure of Rising Energy Costs	Nubwo ibigega bya peteroli na gaze, Afurika irumva igitutu cyizamuka ryibiciro byingufu
Africans are feeling the pinch caused by soaring global energy prices, say analysts, even in countries like Nigeria and Angola that are major exporters of crude oil.	Abasesenguzi bavuga ko Abanyafurika bumva buke biterwa no kuzamuka kw'ibiciro by'ingufu ku isi, ndetse no mu bihugu nka Nijeriya na Angola byohereza peteroli nyinshi.
While that handful of oil producers is seeing an increase in revenue – especially since the Russian invasion of Ukraine on February 24 – much of the continent lacks refining capability, forcing countries to pay high prices to import gasoline and other petroleum products from Asia and Europe.	Mu gihe ibyo bicuruzwa bikomoka kuri peteroli bigenda byiyongera - cyane cyane ko Uburusiya bwateye muri Ukraine ku ya 24 Gashyantare - igice kinini cy’umugabane kikaba kidafite ubushobozi bwo gutunganya, bigatuma ibihugu byishyura ibicuruzwa biva mu mahanga biva muri peteroli n’ibindi bicuruzwa biva muri Aziya no mu Burayi.
The continent is further affected by increasing costs for natural gas, a key component of nitrogen-based fertilizers used in food production.	Umugabane wongeye kwibasirwa no kongera ibiciro bya gaze naturel, igice cyingenzi cyamafumbire ashingiye kuri azote akoreshwa mugutanga ibiribwa.
With salaries largely stagnant, more than two-thirds of Africans feel pressured by the rising prices, said Franklin Cudjoe, founding president of the Ghana-based Imani Center for Policy and Education.	Kubera ko umushahara ahanini uhagaze, abarenga bibiri bya gatatu by'Abanyafurika bumva bahangayikishijwe n'izamuka ry'ibiciro nk'uko byatangajwe na Franklin Cudjoe, washinze ikigo cya Imani gishinzwe politiki n'uburezi muri Gana.
"The continent is affected simply because we depend largely on global oil suppliers, since not many African countries have [their own] oil products," Cudjoe told VOA.	Cudjoe yatangarije Ijwi rya Amerika ati: "Umugabane ugira ingaruka gusa kubera ko ahanini dushingiye ku batanga peteroli ku isi, kubera ko mu bihugu byinshi bya Afurika bidafite ibikomoka kuri peteroli."
Prices spiked on the global oil market after the invasion of Ukraine triggered a wave of international sanctions against Russia, one of the worlds leading exporters of crude. The price briefly climbed to over $120 per barrel this month before settling down to $103 per barrel on Friday.	Ibiciro byazamutse ku isoko rya peteroli ku isi nyuma y’igitero cya Ukraine byateje ibihano mpuzamahanga ku Burusiya, kimwe mu bihugu biza kohereza ibicuruzwa hanze mu mahanga. Muri uku kwezi igiciro cyazamutse kigera ku madolari arenga 120 kuri buri barrale mbere yo kugabanuka kugeza ku madolari 103 kuri buri wa gatanu.
The surge in energy prices is helping to fuel inflation across Africa. In Ghana, for example, overall consumer price inflation was pegged at 15.7% year-on-year in February compared with 13.9% in January, the countrys Statistical Service said last week.	Kuzamuka kw'ibiciro by'ingufu bifasha kuzamura ifaranga muri Afurika. Urugero, muri Gana, muri rusange igiciro cy’ibiciro by’umuguzi cyashyizwe ku gipimo cya 15.7% umwaka ushize ugereranije na 13.9% muri Mutarama, nk'uko byatangajwe n’ikigo cy’ibarurishamibare mu gihugu mu cyumweru gishize.
In Zimbabwe, prices are climbing sharply – even overnight. At a TM supermarket in the capital of Harare, a crate of 30 eggs cost the $6.70 on Tuesday and about $7.81 on Wednesday. The price of a loaf of bread went from $1.49 to $1.84; for a kilo of beef, the price jumped from $3.35 to $5.22.	Muri Zimbabwe, ibiciro bizamuka cyane - ndetse nijoro. Ku wa kabiri, muri supermarket ya TM mu murwa mukuru wa Harare, isanduku y’amagi 30 yaguze amadolari 6.70 ku wa kabiri n’amadorari 7.81 ku wa gatatu. Igiciro cy'umugati cyavuye kuri $ 1.49 kigera ku $ 1.84; ku kilo cy'inka, igiciro cyavuye ku $ 3.35 kigera ku $ 5.22.
Gasoline costs climbed, too. In Harare, the per-liter price climbed from $1.41 to $1.69 from Tuesday to Wednesday.	Ibiciro bya lisansi byarazamutse, nabyo. I Harare, igiciro cya litiro cyazamutse kiva ku $ 1.41 kigera ku $ 1.69 kuva ku wa kabiri kugeza ku wa gatatu.
The surge in food prices was the biggest driver behind consumer inflation in Egypt, it rose by 8.8% in February – the sharpest increase in nearly three years, according to the state statistics agency, CAPMAS.	Izamuka ry’ibiciro by’ibiribwa niryo ryagize uruhare runini mu guta agaciro kw’abaguzi muri Egiputa, ryazamutseho 8.8% muri Gashyantare - kwiyongera gukabije mu myaka hafi itatu, nkuko bitangazwa n’ikigo cya Leta gishinzwe ibarurishamibare, CAPMAS.
Cudjoe said it was crucial for governments and regional bodies such as the African Union to build defenses to cushion consumers in times of economic uncertainty.	Cudjoe yavuze ko ari ngombwa ko guverinoma n’inzego z’akarere nk’Umuryango w’ubumwe bw’Afurika byubaka uburyo bwo guhashya abaguzi mu gihe ubukungu bwifashe nabi.
"Even if it means building defenses in terms of the provision of food," said Cudjoe, adding, "I could imagine Nigeria, if it had had its way, it could be selling foodstuff to most countries at reduced rates by now."	Cudjoe yagize ati: "Nubwo byaba bisobanura kubaka ibirindiro mu bijyanye no gutanga ibiribwa", yongeyeho ati: "Nashoboraga gutekereza Nigeriya, iyaba ifite inzira, yashoboraga kugurisha ibiribwa mu bihugu byinshi ku giciro gito kugeza ubu."
"There must be that urgency of building for themselves defenses, funds that would make us sustain ourselves -- at least to prevent us from being completely annihilated by these uncertainties in the world."	Hagomba kubaho ubwihutirwa bwo kwirwanaho, amafaranga yatuma dukomeza kwibeshaho - byibuze bikatubuza kurimburwa burundu n'ibi bidashidikanywaho ku isi.
Chibamba Kanyama, an economist in the Zambian capital of Lusaka, said suspending fuel taxes would be "the most ideal thing to do now under the circumstances" to cushion consumers and industries.	Chibamba Kanyama, impuguke mu by'ubukungu mu murwa mukuru wa Zambiya wa Lusaka, yavuze ko guhagarika imisoro ya peteroli ari "ikintu cyiza cyane gukora ubu mu bihe" kugira ngo abakoresha inganda n’inganda.
"African governments must find a way of responding," he said. 'It is a choice of whether to reduce taxes to lower the prices or to maintain the price levels and use the revenues to subsidize the most vulnerable in society."	Ati: "Guverinoma za Afurika zigomba gushaka uburyo bwo gusubiza." 'Ni uguhitamo kugabanya imisoro kugira ngo ibiciro bigabanuke cyangwa kugumana urwego rw'ibiciro no gukoresha amafaranga yinjira mu gutera inkunga abatishoboye muri sosiyete. "
But Kanyama also suggested that the geopolitical crisis involving Russia and Ukraine – both big grain exporters to Africa – may create opportunities for African producers.	Ariko Kanyama yavuze kandi ko ikibazo cya geopolitiki kirimo Uburusiya na Ukraine - byombi byohereza ibicuruzwa muri Afurika - bishobora guha amahirwe abahinzi bo muri Afurika.
"Supply countries like South Africa, with robust and highly mechanized systems, may find a window of exporting [commodities] like wheat and other products to fill the gaps left by Russia and Ukraine," Kanyama said.	Kanyama ati: "Gutanga ibihugu nka Afurika y'Epfo, hamwe na sisitemu zikomeye kandi zikoresha imashini zikoresha imashini nyinshi, birashobora kubona idirishya ryo kohereza ibicuruzwa mu mahanga nk'ingano n'ibindi bicuruzwa kugira ngo icyuho cyasizwe n'Uburusiya na Ukraine."
Kanyama also said support by the international community – for instance, in the form of debt relief for some African nations – is welcome.	Kanyama yavuze kandi ko inkunga n’umuryango mpuzamahanga - urugero, mu rwego rwo kugabanya imyenda ku bihugu bimwe na bimwe bya Afurika - byemewe.
He noted that the Group of 20 – which encompasses seven industrialized nations, some countries with strong or fast-growing economies, and the European Union – "is trying to offer some debt relief."	Yagaragaje ko Itsinda rya 20 - rikubiyemo ibihugu birindwi byateye imbere mu nganda, ibihugu bimwe na bimwe bifite ubukungu bukomeye cyangwa byihuta cyane, ndetse n’umuryango w’ubumwe bw’ibihugu by’Uburayi - "bigerageza gutanga inguzanyo."
"Some other countries, such as Zambia, [are] undergoing debt restructuring processes and an IMF program, and to me, this is the only way out of the crisis," Kanyama added.	Kanyama yongeyeho ati: "Ibindi bihugu bimwe na bimwe nka Zambiya, birimo guhindura imyenda na gahunda ya IMF, kandi kuri njye, iyi ni yo nzira yonyine yo kwikuramo ibibazo."
This story originated in VOA's English-to-Africa service, with contributions from the Zimbabwe service.	Iyi nkuru yatangiriye muri VOA serivisi yicyongereza-muri Afrika, hamwe nintererano zitangwa na serivisi ya Zimbabwe.
	
WHO Says Africa's COVID Vaccinations Rose by 15% in February	Umuryango w'Abibumbye wita ku buzima uvuga ko inkingo za COVID zo muri Afrika zanduye 15% muri Gashyantare
The World Health Organization says Africas COVID-19 vaccinations rose by 15% between January and February, as several countries embarked on mass inoculation drives to expand coverage and protect populations from the pandemic.	Ishami ry'Umuryango w'Abibumbye ryita ku Buzima rivuga ko inkingo za Africas COVID-19 zazamutseho 15% hagati ya Mutarama na Gashyantare, mu gihe ibihugu byinshi byatangiye gahunda yo gukingira abantu benshi mu rwego rwo kwagura no kurinda abaturage icyorezo.
Zimbabwes government says it is launching a "national vaccination blitz" targeting those who have not yet been vaccinated in a country where resistance to the shots has been an issue since the program started last year. The drive come amid government concern over rising COVID-19 cases. Dr. Matshidiso Moeti, WHO regional director for Africa, said in a statement that the increase in COVID-19 vaccinations on the continent was driven mainly by campaigns in populous countries, including the Democratic Republic of Congo, Ethiopia, Kenya, and Nigeria.	Guverinoma ya Zimbabwes ivuga ko igiye gutangiza "gukingira igihugu" kwibasira abatarakingirwa mu gihugu aho ikibazo cyo kurwanya amasasu cyabaye ikibazo kuva gahunda yatangira umwaka ushize. Iyi gahunda ije mu gihe leta ihangayikishijwe no kwiyongera kwa COVID-19. Umuyobozi wa OMS mu karere ka Afurika, Dr. Matshidiso Moeti, mu ijambo rye yavuze ko kwiyongera kw'inkingo za COVID-19 ku mugabane wa Afurika byatewe ahanini n'ubukangurambaga mu bihugu bituwe cyane, harimo Repubulika Iharanira Demokarasi ya Kongo, Etiyopiya, Kenya, na Nijeriya.
Dr. Thierno Balde, the WHO Africa regional COVID-19 incident manager, he says the continent must remain vigilant.	Dr. Thierno Balde, umuyobozi wa OMS mu karere ka COVID-19 ushinzwe ibikorwa, avuga ko umugabane ugomba gukomeza kuba maso.
"We have seen what is happening around, in China, and the risk of also having new imitations, new variants still possible. We really need to continue to safeguard our population by taking the vaccine by not relaxing totally. The situation might change. So we really need to continue adapting some of these social measures and also to get vaccination," Balde said.	Twabonye ibibera hirya no hino, mu Bushinwa, ndetse n'akaga ko no kwigana ibintu bishya, ubundi buryo bushya buracyashoboka. Tugomba rwose gukomeza kurinda abaturage bacu dufata urukingo tutaruhuka rwose. Ibintu birashobora guhinduka. Rero Tugomba rwose gukomeza guhuza zimwe muri izo ngamba ndetse no gukingirwa , Balde.
The WHO said to boost African COVID-19 vaccine acceptance, it and other organizations were supporting mass vaccination drives in at least 10 priority countries to reach 100 million people by the end of next month.	Umuryango w'Abibumbye wita ku buzima yavuze ko bizamura urukingo rwa Afurika COVID-19, we n'indi miryango bashyigikiye gahunda yo gukingira imbaga byibuze mu bihugu 10 byihutirwa kugira ngo bigere ku bantu miliyoni 100 mu mpera z'ukwezi gutaha.
Nqobizitha Mangaliso Ndlovu, Zimbabwes acting information minister, said his country would not be left behind.	Nqobizitha Mangaliso Ndlovu, minisitiri w’agateganyo wa Zimbabwes, yavuze ko igihugu cye kitazasigara inyuma.
"Regarding the vaccination program, as of 15 March, 2022, a total of 159,628 third doses have been administered to date. The national vaccination blitz campaign will kick off on Monday, 21 March, 2022, and [the] government is urging those that have not yet been vaccinated to take advantage of this exercise to do so," Ndlovu said.	Ku bijyanye na gahunda yo gukingira, guhera ku ya 15 Werurwe 2022, kugeza ubu hamaze gutangwa inshuro 159,628 zose za gatatu. Igikorwa cyo gukingira igihugu kizatangira ku wa mbere, 21 Werurwe 2022, kandi [guverinoma] irahamagarira abo ntibarakingirwa kugira ngo bakoreshe iyi myitozo kugira ngo babikore , Ndlovu.
A number of Zimbabweans have refused vaccination, saying they do not trust the mainly donated Chinese-made Sinopharm and Sinovac vaccines. The country has lately recorded a rise in new infections – now cumulatively at 244,012 with 5,418 deaths, according to the Johns Hopkins University, which is tracking the global outbreak.	Abatari bake bo muri Zimbabwe banze gukingirwa, bavuga ko batizeye inkingo za Sinopharm zakozwe mu Bushinwa na Sinovac. Nk’uko byatangajwe na kaminuza ya Johns Hopkins ikurikirana iki cyorezo ku isi, ngo iki gihugu kimaze iminsi cyiyongera ku banduye - ubu bakaba bagera kuri 244.012 bapfa 5.418.
Dr. Cleophas Chimbetete, president of Zimbabwe College of Public Health Physicians, attributes that to the recent lifting of restrictive measures, such as lockdowns. He says, however, it is not time to panic, just to enforce WHO protocols, such masking and social distancing.	Dr. Cleophas Chimbetete, perezida w’ishuri rikuru ry’abaganga b’ubuzima rusange rya Zimbabwe, avuga ko ibyo biterwa no gukuraho ingamba zihamye nko gufunga. Avuga ko ariko, atari igihe cyo guhagarika umutima, gusa ngo dushyire mu bikorwa protocole ya OMS, nko guhisha no gutandukanya imibereho.
"After relaxing measures, it is expected that cases will slightly go up. But I also think that it is too early to make any meaningful conclusions, I think it is just an opportunity for us to strengthen our preventative measures and continue highlighting to the rest of the population that COVID is still with us. The good news, though, is that severe cases have not gone up. What we need to do is to continue to get vaccinated and what is important is that the government should – as it is doing – is monitor these numbers. There is no cause for alarm or cause for us to introduce new measures," Chimbetete said.	Nyuma yo gufata ingamba zo kuruhuka, biteganijwe ko imanza zizamuka ho gato. Ariko nanone ndatekereza ko hakiri kare gufata imyanzuro ifatika, ndatekereza ko ari amahirwe kuri twe gushimangira ingamba zo gukumira no gukomeza kumurikira abandi. y'abaturage ko COVID ikiri kumwe natwe.Inkuru nziza, nubwo, imanza zikomeye zitigeze ziyongera. Icyo tugomba gukora ni ugukomeza gukingirwa kandi icyangombwa nuko leta igomba - nkuko ibikora - ni ugukurikirana iyi mibare. Nta mpamvu yo gutabaza cyangwa kudutera gushyiraho ingamba nshya , Chimbetete.
Zimbabwe had a target of vaccinating at least 10 million people by the end of last year, a figure that some say was difficult to reach given the scarcity of resources and hesitance. It has yet to announce when it plans to achieve herd immunity.	Mu mpera z'umwaka ushize, Zimbabwe yari ifite intego yo gukingira byibuze miliyoni 10 z'abantu, iyo mibare bamwe bavuga ko bigoye kuyigeraho bitewe n'ubushobozi buke no gushidikanya. Kugeza ubu ntiratangaza igihe iteganya kugera ku budahangarwa bw'ubusho.
	
Finland Crowned World's Happiest Nation for Fifth Year	Finlande Yambitswe Igihugu Cyane Cyane Cyane Cyumwaka wa gatanu
Finland has been named the world's happiest country for the fifth year running, in an annual U.N.-sponsored index that again ranked Afghanistan as the unhappiest, followed closely by Lebanon.	Finilande yagizwe igihugu cyishimye ku isi mu mwaka wa gatanu, mu cyegeranyo ngarukamwaka cyatewe inkunga na Leta zunze ubumwe za Amerika cyongeye gushyira Afuganisitani nk'utishimye, gikurikirwa na Libani.
Serbia, Bulgaria and Romania recorded the biggest boosts in wellbeing. The largest falls in the World Happiness table, released on Friday, came in Lebanon, Venezuela and Afghanistan.	Seribiya, Buligariya na Rumaniya byanditseho imbaraga nyinshi mu mibereho myiza. Kugwa kwinshi kumeza yibyishimo byisi, byashyizwe ahagaragara kuwa gatanu, byaje muri Libani, Venezuwela na Afuganisitani.
Lebanon, which is facing economic meltdown, fell to second from last on the index of 146 nations, just below Zimbabwe.	Libani ihura n’ubukungu bwifashe nabi, yagabanutse ku mwanya wa kabiri kuva ku rutonde rw’ibihugu 146, munsi ya Zimbabwe.
War-traumatized Afghanistan, already bottom of the table, has seen its humanitarian crisis deepen since the Taliban took power again last August. U.N. agency UNICEF estimates one million children under five could die of hunger this winter if not aided.	Afuganisitani yahungabanye mu ntambara, imaze kuba munsi y’ameza, imaze kubona ikibazo cy’ubutabazi kuva Abatalibani bongera gufata ubutegetsi muri Kanama gushize. Ikigo cya UNICE UNICEF kivuga ko miliyoni y'abana bari munsi yimyaka itanu bashobora guhitanwa ninzara muriyi mbeho iyo idafashijwe.
"This (index) presents a stark reminder of the material and immaterial damage that war does to its many victims," co-author Jan-Emmanuel De Neve said. The World Happiness Report, now in its 10th year, is based on people's own assessment of their happiness, as well as economic and social data.	Umwanditsi umwe, Jan-Emmanuel De Neve yagize ati: "Iyi (indangagaciro) irerekana neza ibyangiritse ku bintu ndetse no ku buryo budasanzwe intambara yangiza abahohotewe." Raporo y’ibyishimo ku isi, ubu iri mu mwaka wa 10, ishingiye ku kwisuzuma ryabo ubwabo ku byishimo byabo, ndetse n’imibare y’ubukungu n’imibereho.
It assigns a happiness score on a scale of zero to 10, based on an average of data over a three-year period. This latest edition was completed before the Russian invasion of Ukraine.	Igenera amanota yibyishimo ku gipimo cya zeru kugeza 10, ukurikije impuzandengo yamakuru mugihe cyimyaka itatu. Iyi nyandiko iheruka yarangiye mbere y’Uburusiya butera Ukraine.
Northern Europeans once again dominated the top spots -- with the Danes second behind the Finns, followed by the Icelandic, the Swiss and the Dutch. The United States rose three places to 16th, one ahead of Britain, while France climbed to 20th, its highest ranking yet.	Abanyaburayi bo mu majyaruguru bongeye kwiganza ku mwanya wa mbere - hamwe na Danemark inyuma ya Finns, ikurikirwa na Islande, Abasuwisi n'Abaholandi. Amerika yazamutseho imyanya itatu igera ku mwanya wa 16, imwe imbere y'Ubwongereza, mu gihe Ubufaransa bwazamutse bugera ku mwanya wa 20, bukaba buri ku mwanya wa mbere kugeza ubu.
As well as a personal sense of wellbeing, based on Gallup polls in each country, the happiness score takes account of GDP, social support, personal freedom and levels of corruption.	Kimwe no kumva ko umuntu ameze neza, ashingiye ku matora ya Gallup muri buri gihugu, amanota y'ibyishimo atekereza kuri GDP, inkunga y'abaturage, ubwisanzure bwite na ruswa.
This year the authors also used data from social media to compare people's emotions before and after the Covid-19 pandemic. They found "strong increases in anxiety and sadness" in 18 countries but a fall in feelings of anger.	Uyu mwaka abanditsi bakoresheje kandi amakuru ava ku mbuga nkoranyambaga kugira ngo bagereranye amarangamutima y'abantu mbere na nyuma y'icyorezo cya Covid-19. Basanze "kwiyongera gukomeye mumaganya numubabaro" mubihugu 18 ariko kugwa muburakari.
"The lesson of the World Happiness Report over the years is that social support, generosity to one another and honesty in government are crucial for wellbeing," report co-author Jeffrey Sachs wrote.	Umwanditsi umwe muri raporo, Jeffrey Sachs yanditse ati: "Isomo rya raporo y'ibyishimo ku isi mu myaka yashize ni uko gushyigikira imibereho, kugirana ubuntu no kuba inyangamugayo muri guverinoma ari ngombwa mu mibereho myiza."
"World leaders should take heed."	Abayobozi b'isi bagomba kwitondera.
The report raised some eyebrows when it first placed Finland at the top of its listings in 2018.	Raporo yazamuye amaso igihe yashyiraga bwa mbere Finlande ku rutonde rwayo muri 2018.
Many of the Nordic country's 5.5 million people describe themselves as taciturn and prone to melancholy, and admit to eyeing public displays of joyfulness with suspicion.	Benshi mu baturage bo mu gihugu cya Nordic miliyoni 5.5 bavuga ko ari taciturn kandi bakunda guhangayika, kandi bakemera ko bareba abantu bishimye bafite amakenga.
But the country of vast forests and lakes is also known for its well-functioning public services, ubiquitous saunas, widespread trust in authority and low levels of crime and inequality.	Ariko igihugu cy’amashyamba n’ibiyaga bigari kizwiho kandi n’imirimo ifitiye igihugu akamaro, sauna igaragara hose, kwizerana cyane ku butegetsi n’ubugizi bwa nabi buke n’ubusumbane.
	
Zimbabwe Court Orders Trial for NY Times Freelancer	Urukiko rwa Zimbabwe rwasubitse urubanza rwa NY Times Freelancer
A court in Zimbabwe dismissed a discharge application Tuesday in a case against a New York Times journalist. Freelance journalist Jeffrey Moyo is accused of flouting Zimbabwe's immigration laws when he allegedly helped two foreign reporters enter the southern African nation illegally last year.	Ku wa kabiri, urukiko rwo muri Zimbabwe rwanze icyifuzo cyo gusezerera mu rubanza umunyamakuru wa New York Times. Umunyamakuru wa Freelance, Jeffrey Moyo, arashinjwa kuba yararenze ku mategeko agenga abinjira n'abasohoka muri Zimbabwe ubwo yavugaga ko yafashije abanyamakuru babiri b'abanyamahanga kwinjira mu gihugu cya Afurika y'Epfo mu buryo butemewe n'amategeko umwaka ushize.
Kathleen Mpofu — one of Moyo's lawyers — said the journalist will go on trial April 28.	Kathleen Mpofu - umwe mu bunganira Moyo - yavuze ko umunyamakuru azaburanishwa ku ya 28 Mata.
"The magistrate dismissed the application. He basically found that the state had led enough evidence for Mr. Moyo to be put to his defense and coming to this finding," Mpofu told VOA from Bulawayo, via WhatsApp.	Mpofu yabwiye VOA avuye i Bulawayo, abinyujije kuri WhatsApp ati: "Umucamanza yanze icyifuzo. Yasanze ahanini Leta yarayoboye ibimenyetso bihagije kugira ngo Bwana Moyo ashyikirizwe kandi aze muri iki cyemezo."
"It seems the magistrate relied on the fact that the state had led the evidence of the allegedly false accreditation cards that had been obtained by the foreign journalist and based on his interpretation of the evidence led by the state, he found that it was sufficient to put the accused to his defense."	Bigaragara ko umucamanza yashingiye ku kuba leta yari iyoboye ibimenyetso by'amakarita yo kwemeza ko ari ibinyoma yari yarahawe n'umunyamakuru w’amahanga kandi ashingiye ku gusobanura ibimenyetso byayobowe na Leta, yasanze bihagije kuri shyira ushinjwa kumwunganira. 
Moyo's lawyers believed the case might be dismissed, after the same court earlier this month acquitted a Zimbabwe Media Commission official, Thabang Manhika, for allegedly processing fake accreditations for two South Africa-based New York Times journalists who entered Zimbabwe and were later deported. Moyo and Manhika were being tried separately.	Abunganira Moyo bemezaga ko uru rubanza rushobora gusibwa, nyuma yuko urukiko rumwe mu ntangiriro z'uku kwezi rugizwe umwere umukozi wa komisiyo ishinzwe itangazamakuru muri Zimbabwe, Thabang Manhika, kubera ko yatunganyaga impapuro mpimbano ku banyamakuru babiri ba New York Times bakorera muri Afurika y'Epfo binjiye muri Zimbabwe nyuma baza kwirukanwa. Moyo na Manhika baburanishwaga ukwabo.
Zimbabwe's government says both Moyo and Manhika broke immigration laws.	Guverinoma ya Zimbabwe ivuga ko Moyo na Manhika bombi barenze ku mategeko y’abinjira.
Information Ministry Permanent Secretary Ndabaningi Nick Mangwana commented on Tuesday's ruling.	Umunyamabanga uhoraho wa Minisiteri ishinzwe amakuru Ndabaningi Nick Mangwana yagize icyo avuga ku cyemezo cyo ku wa kabiri.
"We just want to see that there's law and order. If somebody has committed a crime or is perceived, they will have their day in court, so he is having his day in court, so his outcome is not in our hands, it's in the hands of the criminal justice system. That's our position," Mangwana said.	Turashaka gusa kubona ko hari amategeko n'amabwiriza. Niba hari umuntu wakoze icyaha cyangwa akabonwa, bazagira umunsi wabo mu rukiko, bityo akaba afite umunsi we mu rukiko, bityo ibisubizo bye bikaba bitari mu maboko yacu, birimo amaboko y'ubutabera mpanabyaha. Ngiyo umwanya dufite , Mangwana.
Tabani Moyo of the Media Institute of Southern Africa, or MISA, has called for the journalist to be treated fairly.	Tabani Moyo wo mu kigo cy'itangazamakuru cyo muri Afurika y'Epfo, cyangwa MISA, yasabye ko umunyamakuru yafatwa neza.
"MISA Zimbabwe underscores the need for fair trial. That is our position throughout till the end of the case. All we are saying is that he, just like any other citizen, deserves a fair trial," Moyo said.	Moyo ati: "MISA Zimbabwe ishimangira ko hakwiye kuburanishwa mu buryo buboneye. Ngiyo umwanya dufite kugeza urubanza rurangiye. Icyo tuvuga ni uko we kimwe n'undi muturage wese, akwiye kuburanishwa mu buryo buboneye."
Moyo, a Zimbabwean national, faces up to 10 years in prison if convicted.	Moyo, ufite ubwenegihugu bwa Zimbabwe, aramutse ahamwe n'icyaha, ashobora gufungwa imyaka 10.
	
