en	ibo
'I played almost five years for this team, the injury I had, government and management didn't help me. So, they should pay us our money.'	Agbara m òtù a bọọlụ ihe dịka afọ ise, mmeru ahụ m nwetara, gọọmenti na ndị nlekọta enyeghiri m aka. Ya bụ, ha kwụọ anyị ego anyị. '
Former Sunshine Stars player, James Moses, said government should honour the agreement it entered into with the players and pay them their sign-on fees.	Onye gbagburu 'Sunshine Stars' bọọlụ, James Moses, kwuru na gọọmenti kwesiri ịsọpụrụ nkwekọrịta ha na ndị ọgba bọọlụ nwere ma kwụọ ha ụgwọ nkwekọrịta ha.
Moses, fondly called 'Okomu' in his playing days by fans, said the love they had for the team had prevented them from taking legal action against the management.	Moses, onye ọ na-amasị ndị ofufe ya ịkpọ 'Okomu' mgbe ọ na-agba bọọlụ, kwuru na ịhụnanya ha nwere banyere òtù a egbochiela ha ibu amụma ikpe megide ndị nlekọta òtù a.
He said, 'The state has been owing us sign-on fees for long and we have been begging for them to pay us.	O kwuru, ' O teela aka Steeti jiwara anyị ụgwọ nkwekọrịta mana anyị na-arịọ ha ka ha kwụọ anyị ụgwọ.
'Sunshine was my first club, I love Sunshine so much. I want them to pay us our money that is due to us.	'Sunshine bụ òtù egwuregwu mbụ m, ahụrụ' Sunshine' ya n' anya nke ukwuu. Achọrọ m ka ha kwụọ anyị ego ruru anyị.
'We are calling on the state governor to help us because some of us have families to take care of.'	Anyị na-akpọkwu gọvanọ steeti a ka ọ nyere anyị aka makana ụfọdụ n'ime anyị nwere ezinụlọ anyị ga-eleta anya.
In his reaction, Tajudeen Akinyemi, Chairman, Ondo State Football Agency, said the previous government agreed to pay the money in 15 instalments but was only able to offset eight.	N' okwu ya, Tajudeen Akinyemi, onyeisi, ụlọ ozi egwuregwu bọọlụ Steeti Ondo, kwuru na gọvanọ pụrụ apụ kwetara ịkwụ ego ahụ ịchafụ ịchafụ ụzọ 15 mana ọ bụ ụzọ asatọ ka o nwere ike kwụọ.
Akinyemi said the file for the remaining seven months had been sent to the Head of Service, who had raised the issue with the governor of the state.	Akinyemi kwuru na e zigarala onyeisi ọrụ, onye gwarala gọvanọ steeti maka okwu a, faịlị ọnwa asaa fọrọ afọ 
He promised that government would accelerate action on the file to ensure that the former players were paid.	O kwere nkwa na gọọmenti ga-eme ngwa ngwa na faịlị ahụ iji hụ na a kwụrụ ndị a gbagburu bọọlụ ụgwọ. 
Ex-Ondo Governor, Mimiko, Loses Mother	Nne onye jiburu ọkwa gọvanọ Ondo steeti, Mimiko, nwụrụ.
The 88-year-old woman, Muyinat Mimiko, died in Ondo following a brief illness on Friday.	Nwaanyị a dị iri afọ asatọ na asatọ, Muyinat Mimiko, nwụrụ n' Ondo ka ọ rịachara obere ọrịa na Fraịdee.
The mother of a former governor of Ondo State, Olusegun Mimiko, has died.	Nne onye jiburu ọkwa gọvanọ nke Ondo Steeti, Olusegun Mimiko, anwụọla.
The 88-year-old woman, Muyinat Mimiko, died in Ondo following a brief illness on Friday.	Nwaanyị a dị iri afọ asatọ na asatọ, Muyinat Mimiko, nwụrụ n' Ondo ka ọ rịachara obere ọrịa na Fraịdee.
An aide to the former governor, Paul Akinduro, confirmed the incident on Saturday.	Onye enyemaka aka chịburu Ondo Steeti, Paul Akinduro, kwuru ihe a merenụ na Satọdee.
He said, 'Mama Muinat Mosekola Mimiko fondly called 'Iye Ruka' has gone to rest. We will miss her dearly.'	O kwuru, 'Mama Muyinat Mosekola Mimiko onye a na-akpọ 'Iye Ruka' anaala na ndokwa. Anyị ga-akwa ngaramara ya nke ukwuu.'
Mimiko was a two-term governor of Ondo State.	Mimiko bụụrụ gọvanọ Ondo steeti ugboro abụọ.
EXCLUSIVE: Davido: 'No Money Osun State Can Make In 40 Years That My Dad Hasn't Made'	SỌỌSỌ: Davido: 'Onweghi ego Osun Steeti nwere ike inweta n' afọ iri anọ nke aka m enwetabeghi.' 
*Why I stayed away from Nigeria for 8 months	'Ihe mere n' anọghị m na Naijiria ọnwa asatọ.'
Nigerian singer David Adeleke, aka Davido, says there is no money Osun State can make in the next 40 years that his father, Adedeji Adeleke, has not already made as the 'omo baba olowo' crooner revealed why he stayed away from Nigeria for eight months.	Ọgwụ egwu onye Naijiria David Adeleke, onye a na-akpọ Davido, sị na onweghi ego Osun Steeti nwere ike inweta n' afọ iri anọ na-abịa abịa nke nna ya, Adedeji Adeleke, enwetabeghi dịka onye kụrụ 'ọmọ baba olowo' kpughere ihe mere na ya anọghị na Naijiria ọnwa asatọ.
A similar controversial statement regarding the paltry financial capacity of Osun was made by the national leader of the All Progressives Congress, Bola Tinubu.	Ụdị okwu mgbagha a banyere enweghị ego nke Osun Steeti bụ nke onye ndu otu pati 'All Progressives Congress' ala anyị gba gburugburu mere.
Contrary to beliefs that Davido was away from the country to promote his music on the international scene, the singer said he had to leave the country of some time due to the fillers he was getting that the government was after him.	Nkwenye nke nupụrụ isi na Davido pụrụ n' ala anyị ikwalite egwu ya na mba ụwa, ọgwụ egwu a sịrị na ya hapụrụ ala anyị nwa oge maka ihe ya na-anụ na gọọmenti na-achụ ya.
According to him, he needed to protect his family and associates which he was why he left the country.	Dịka ọ siri kwuo, ọ chọrọ ịchekwa ezinụlọ ya na ndị ha na ya na-akpakọrịta ya mere o jiri pụọ n' ala anyị.
The singer made this known at his album private listening event, Wednesday night, which held at Landmark Events, Victoria Island, where he disclosed that if he had chosen to stay things would not have gone smoothly for him as the government were beginning to track his activities.	Ọgwụ egwu a mere ka a mara nke a n' emume abọm ya, n' abalị Wenzidee, nke e mere na Landmark Events, Victoria Island, ebe o kwuru na ọ bụrụ na ya họọrọla ịnọ na ihe agaghị agara ya ọfụma dịka gọọmenti bidoro inyocha ihe niile ọ na-eme.
The singer whose album, 'A Good Time', will be released in October while fielding questions from MTV Base TV host, Ehiz, said, 'With the whole politics thing it was first about family.	Ọgwụ egwu a onye abọm ya, 'A Good Time', ga-apụta n' Ọktoba ka ọ na-aza ajụjụ si n' aka onye nọ isi emume 'MTV Base TV', Ehiz, sịrị, 'Ihe ndọrọndọrọ ọchịchị niile bụ maka ezinụlọ na mbụ.
Honestly, it was first about family.	N' eziokwu, ọ bụ maka e, ezinụlọ na mbụ.
I was in Osun with my guys.	Mụ na ndị òtù m nọ n' Osun.
We saw everything in plain sight.	Anyị hụrụ ihe niile hoo haa.
Let me tell you a story about my uncle.	Ka m kọọrọ gị maka nwanne nna m nwoke.
My uncle is the last born of the family.	Nwanne nna m nwoke bụ nwa ịkpazụ ezinụlọ ha.
The original politician of the family is Serubawon, my father's elder brother.	Onye ndọrọndọrọ ọchịchị nsinambụ nke ezinaụlọ ha bụ Serubawon, nwanne nna m nke okenye.
'He was the first governor of Osun state; came back then went for senator you know when everybody for the state knows that this is the next governor and then we just woke up one day and they said he went to eat somewhere and he died.	Ya bụ Gọvanọ izizi nke Osun Steeti; nachiere azụ gawa sineti.
'Yoruba culture when somebody holds an office and he passes on they either give the bride or the close relatives.	Ị ma mgbe onye ọbụla na Steeti mara na onye a bụ Gọvanọ na-abịa abịa mana anyị biliri ótù ụbọchị ha sị na o jere iri nri n' otu ebe wee nwụọ.
The next in line is B red's daddy and he is just a happy person.	'N' omenaala Yoruba mmadụ jide ọchịchị wee nwụọ, ha na-enye nwunye ya ma ọ bụ ndị ikwu ya dị ya nso ọchịchị.
He doesn't like politics but when you lose your brother everybody knows what's up.	Osote bụ nna B Red, ọ bụ onye obi añurị.
With that, they wanted to give my uncle automatically.	Ndọrọndọrọ ọchịchị anaghị amasị ya mana mgbe nwanne gị nwoke nwụnahụrụ gị onye ọbụla ma ihe merenụ. N' ihi nke a, ha chọrọ inye ya nwanne nna m n' akpaghị ya akpa.
'A day to them swearing him in as senator they said no we want to do re-election another guy has come up and my father doesn't like wahala so he said let's go to the other party if we lose we pack our thing and go.	Ka otu ụbọchị fọrọ ka ha duo ya n' iyi ọrụ dị ka sinetọ ha sị mba anyị chọrọ imegharị nhọpụta onye ọzọ apụtala mana nna m achọghị nsogbu ọ wee sị ka anyị gaa na pati ọzọ anyị daa anyị kwara ngwongwo anyị pụọ.
The next day we did election my uncle cleared 16 out of 17 local government areas.	Ụbọchị na-esote anyị mere nhọpụta nwanne nna m meriri okpuru ọchịchị 16 n' ime okpuru ọchịchị 17.
'He became a senator in just a week.	'Ọ bụrụ sinetọ nanị n' ime otu izu ụka.
His own journey to winning that governorship primary election was out of sight that was how we knew this one nah God.	Njem ya imeri nhọpụta praịmarị ndọrọndọrọ gọvanọ miri emi nke anyị ji mara na ọ bụ uche Chukwu.
'It was painful and will tell everybody here that was the real reason I was not even in the country because of the politics.	'Ọ bụ ihe mgbu mana m ga-agwa onye ọ bụla ebe a na ọ bụ ihe a n' ezie mere na anọghị m n' obodo a maka ndọrọndọrọ.
I have to watch what I say.	Ekwesiri m ịkpachara anya n' ihe na-ekwu.
If I was around he no go dey OK for me and my people.	Ọ bụrụ na m nọ ya ọ gaghị adịrị m na ndị be m mma.
So I had to be a man and say look let me stay away.	Ya mere m jiri mee ka nwoke wee sị ka m pụọ apụ.
'We have Adeleke University all the roads that lead was done by my father.	'Anyị nwere Adeleke University nna m lụrụ ụzọ niile gara ebe ahụ.
There's no money Osun wants to make in the next 30 to 40 years that my father has not made.	Enweghị ego ọbụla Osun chọrọ inweta n' afọ iri atọ ruo iri anọ nke nna m enwetabeghi.
The way things turned out was crazy.	Ka ihe siri gbata kwuru ezighi ezi.'
When asked if he got any backlash for doing what he did, he said no.	Mgbe a jụrụ ya ma ọ nwetara nkọcha maka n' ihe ọ mere, ọ sịrị mba.
According to him, he met an APC chieftain at a wedding in Paris wherethey both shared a joke.	Dị ka o kwuru, o zutere onyeisi APC n' agbamakwụkwọ na Paris ebe ha abụọ kparịtara amụ.
He said he 'felt shebi una don take am'.	Ọ sịrị' Ọ kwa unu enwerela ya.'
That's why I'm back, he explained.	Ya mere m jiri nachie azụ, ọ kọwara.
'I'm praying every day for the country.	'Ana m ekpere obodo anyị ekpere kwa ụbọchị.
Everybody is complaining why you talking about politics.	Onye ọbụla na-ekpesa na I na-ekwu maka ndọrọndọrọ ọchịchị.
I have an American passport I could have chosen to stay there.	Enwere m akwụkwọ njem Amerịka enwere m ike ịhọrọ ịnọ ebe ahụ.
But this is home and I am comfortable here.'	Mana ebe a bụ ụlọ, obi ruru m ala ebe a.
EXCLUSIVE: EFCC Quizzes Ondo Poly Bursar, Registrar Over Funds Misappropriation	Sọọsọ: EFCC jụrụ onye ojide ego na onye ndeko aha Politeknik Ondo ajụjụ banyere iri ego. 
SaharaReporters gathered on Wednesday that the two men were 'drilled' for authorising the sum of N68m from the treasury of the school without due process.	Sahara Reports' chịkọtara na Wenzidee na a tara ụmụ nwoke abụọ ahụhụ maka inye ikike ka e wepụ nde N68 n' akpa ụlọ akwụkwọ a n' esoghị ụzọ ziri ezi. 
The Economic and Financial Crimes Commission has quizzed the Registrar of Rufus Giwa Polytechnic Owo, Ondo State, Mr Sule Atiku, and the Bursar of the institution, Mr Matthew Adejuwon, over alleged financial impropriety.	'Economic and Financial Crimes Commission' ajụọla odeko aha nke Rufus Giwa Politeknik Owo, Ondo Steeti, Maazị Sule Atiku, na ojide ego ụlọakwụkwọ a, Maazị Matthew Adejuwon, ajụjụ maka ebubo e boro ha banyere imefu ego n' ụzọ ezighi ezi.
SaharaReporters gathered on Wednesday that the two men were 'drilled' for authorising the sum of N68m from the treasury of the school without due process.	'Sahara Reports' chịkọtara na Wenzidee na a tara ụmụ nwoke abụọ ahụhụ maka inye ikike ka e wepụ nde N68 n' akpa ụlọ akwụkwọ a n' esoghị ụzọ ziri ezi. 
A source, who confided in our correspondent, said that, 'The Registrar and Bursar of the institution were at the EFCC on Tuesday and they were quizzed over the role they played in allegedly misappropriating the funds of the institution.	Onye nyere anyị ozi, nke tụkwasịrị obi n' onye mmekọrịta anyị, kwuru 'Onye ndeko aha na onye njide ego ụlọakwụkwọ a nọ n' ụlọ ọrụ ndị EFCC n'ụbọchị Tuzdee, a jụrụ ha ajụjụ maka ebubo e boro ha banyere imefu ego ụlọakwụkwọ n' ụzọ n' ezighi ezi.
'They were there with their lawyers and brought some documents to defend themselves.	'Ha na ndị ọka ikpe ha nọ ebe ahụ, ha wetara akwụkwọ ụfọdụ iji gọrọ isi onwe ha.
'Our investigations showed that the Bursar had his authorised signature on some of the documents which also implicated him as an accomplice.	Nyocha anyị gosiri na ojide ego binyere aka ikike ya na ụfọdụ akwụkwọ nke gosiri ya ka onye aka ya adịghị ọcha.
Two of them (Bursar and the Registrar) were accomplices in the ongoing corruption and fraud perpetrated at the polytechnic.	Ha abụọ (ọnakọ ego na odeko aha) so n' ihe nrụrụaka na igwu wayo a na-aga n' ihu e mere na Politeknik a.
A senior management officer of the school also confirmed the questioning of the two men during a chat SaharaReporters.	Otú onye nlekọta ọkwa ya gbalitere n' ụlọakwụkwọ a kwetara na a jụrụ mmadụ abụọ ajụjụ ka ya ndị' Sahara Reports ' na-akọrị.
He said, 'Yes, it is true that the two men have honoured the invite of the EFCC and they have been quizzed but I don't know if they were detained.	Ọ sịrị,' Ee, ọ bụ eziokwu na ụmụ nwoke abụọ zara òkù EFCC kpọrọ ha na a jukwara ha ajụjụ mana amaghị m e jidere ha.
I noticed I did not see them in school today (Wednesday).	Achọpụtara m na ahụghị m ha n' ụlọakwụkwọ taa (Wenezdee).'
When contacted on Wednesday evening over the matter, spokesperson for the institution, Mr Ojo Samuel, could not be reached as his telephone line was switched off.	Ka a kpọtụrụ n' ụbọchị Wenzidee banyere okwu a, okwuchite ọnụ ụlọ akwụkwọ, Maazị Ojo Samuel, e nwetaghị ya dị ka ekwentị ya gbanyụrụ agbanyụ.
Recall that the EFCC had last month invited and quizzed both the Chairman, Governing Board of the school, Mr Banji Alabi; the Rector, Gani Ogundahunsi; Deputy Rector (Academics), and Mr Olorunwa Lawson after a petition was received by the agency.	Cheta na ndị EFCC n' ime ọnwa gara aga kpọrọ ma jụọ ma onyeisi ọche otu na-achị ụlọakwụkwọ, Maazị Banji Alabi, onyeisi ụlọakwụkwọ a, Ganị Ogundahunsi; osote onyeisi ụlọakwụkwọ (n' agụmakwụkwọ), na Maazị Olorunwa Lawson ka ndị ụlọ ọrụ a nata character akwụkwọ mkpesa.
Some aggrieved lecturers of the school had accused the management of the institution of allegedly diverting and using some illegal means to misappropriate the school's fund into private purse.	Ụfọdụ ndị nkụzi ụlọakwụkwọ a ọ na-ewute ebola nlekọta ụlọakwụkwọ ahụ ebubo na ha na-ewegharị ma jiri ụzọ n' ezighi ezi na-etinye ego ụlọakwụkwọ a n' akpa nke onwe.
Sources at the EFCC had earlier told SaharaReporters that there are documents linking the principal officers of the polytechnic to the financial misappropriation.	Ndị si EFCC eweta ozi gwara 'Sahara Reports' na mbụ na e nwere ụfọdụ akwụkwọ na-ejiko ndị isi ọrụ Politeknik a na ihe mmefu ego n' ụzọ n' ezighi ezi a.
EXCLUSIVE: Real Reason I was Assaulted –FUTA Student Brutalised By Colleagues.	SỌỌSỌ: Ihe kpatara e jiri manye m ọgụ mberede n' ezie - - nwata akwụkwọ FUTA ụmụ akwụkwọ ibe ya meruru ahụ.
She was attacked by her colleagues for revealing how one of their boyfriends forcefully tried to have an affair with her.	Ndị òtù ya wakporo ya maka ikpughe ka ótù enyi ha nwoke si chọọ ka ha nwee mmekọahụ n' ike. 
Boluwatife Adekunle, the female undergraduate of the Federal University of Technology Akure, Ondo State, who was physically assaulted by two ladies and a guy all said to be student of the institution, has given more insight into why she was attacked.	Boluwatife Adekunle, nwaanyị na-agwụ na 'Federal University of Technology' Akure, Ondo Steeti, onye ụmụ nwaanyị abụọ na ótù nwoke e kwuru na ha ncha bụ ụmụ akwụkwọ ụlọakwụkwọ a, enyewanyela nghọta banyere ihe e ji wakpo ya.
The young lady, who says she wants justice served, told SaharaReporters on Tuesday in Akure, the state capital, that she was attacked by her colleagues for revealing how one of their boyfriends forcefully tried to have an affair with her.	Nwata nwaanyị a, onye kwuru na ya chọrọ ikpe nkwụmọtọ, gwara 'Sahara Reporters' ụbọchị Tuzdee n'Akure, isi ọnọdụ steeti a, na ndị òtù ya wakporo ya mana ikpughe ka ótù enyi ha nwoke si chọọ ka ha nwee mmekọahụ n' ike.
Adekunle revealed that she was assaulted in one of the private hostels outside the school campus by the group in a bid to be disgraced among fellow students.	Adekunle kpughere na ndị òtù a masoro ya ọgụ mberede n' ótù ụlọ onwe n' adịghị n' okirikiri ụlọakwụkwọ iji mee ihe ihere n' etiti ụmụ akwụkwọ ibe ya.
She said, 'The whole issue started few weeks ago.	O kwuru, 'Ihe a niile bidoro izu ụka ole na ole gara aga.
I and one of the ladies in the video called 'Faith' were roommates in a hostel outside campus.	Mụ na ótù n' ime ụmụ nwaanyị nọ n' ihe onyonyo a a na-akpọ Faith bikoburu ọnụ n' òtù ụlọ na-adịghị n' okirikiri ụlọakwụkwọ.
'Her boyfriend began asking me out but I felt it was not proper for me to date him.	Enyi ya nwoke bidoro rịọwa m enyi mana e chere m na ọ zighi ezi mụ ịyịwa ya.
I rejected his advances.	Ajụrụ m mbọ ya niile.
'But instead of him to leave me alone, the guy kept disturbing me, so I had to report him to Faith because I don't want trouble.	'Mana kama ọ ga-ahapụ m aka, ọ kachiri ntị na-enye m nsogbu, m wee kpee ya n' aka Faith makana achọghị m nsogbu.
FUTA Female Student Brutalised For Calling Colleagues 'Runs Girls'	E meruru nwa akwụkwọ nwaanyị FUTA ahụ maka ịkpọ ndị òtù ya ndị achawo.
'Before then, I had been having some issues with Faith as she had been living a wayward life on campus which I didn't like.	Tupu oge ahụ, mụ na Faith enwela ụfọdụ nsogbu dịka ọ na-ebi ndụ na-adabaghị nke mụ achọghị n' ụlọakwụkwọ.
'From that point, she started seeing me as talking bad about her to people around our area.	'Bido oge ahụ, o bidoro na-ahụ m ka m na-akọrọ ndị mmadụ nọ mpaghara anyị ihe ọjọọ banyere ya.
'During this period, her boyfriend kept pestering me to date him but I refused.	'N' oge a, enyi ya nwoke kachiri ntị na-enye m nsogbu ka m yịwa ya mana ajụrụ m ajụ.'
'Instead of Faith to caution her boyfriend, she accused me of planning to sleep with her man.	Kama Faith ga-adọ enyi ya nwoke aka na ntị, o bo m ebubo na m na-akpa nkata ka mụ na ya nwee mmekọahụ.
'On the day that I was assaulted, she invited me to a room in one of the hostels and boyfriend and other ladies were inside the place already.	'N' ụbọchị a masoro m ọgụ mberede, ọ kpọrọ m oku n' ótù ọnụ ụlọ ebe enyi ya nwoke na ụmụ nwaanyị ndị ọzọ nọrọla tupu m bịa.
'Immediately I entered the place, they locked the door and asked me to kneel down while the guy was asking if he ever asked me for a date.	'Ozugbo m batara ebe ahụ, ha akpọchie ụzọ wee sị m sekpuruala ebe nke nwoke na-ajụ ma ya arịọnugo m enyi.
'Since I refused to kneel down, they began to beat me and also tried to strip me naked.	'Ebe m jụrụ isekpuala, ha bidoro tiwe m ihe ma chọkwa ịgba m ọtọ.
'They used a stick to hit me on my head and punched me on my face.	'Ha jiri osisi na-akụ m n' isi ma na-akụ m ọkpọ n' ihu.
The guy used horse whip to flog me several times.	Nke nwoke pịara m koboko ugboro ugboro.
'They said they would make sure they disgraced me on campus, I pleaded with them but they refused and I was about to faint when they stopped beating me.	'Ha sịrị na ha ga-ahụ na ha mere ihe ihere n' ụlọakwụkwọ, arịrịọ m ha mana ha jụrụ, ana m achọ ikubi ume mgbe ha kwụsịrị iti mkpu ihe.
'As I speak, I feel pains all over my body due to the beatings.	Dịka m na-ekwu ana m enwe mmetụta ihe mgbu n' ahụ m niile n' ihi ihe ha kụrụ m.
Their plan was to kill me.	Atụmatụ ha bụ ka ha gbuo m.
I want them arrested and face the consequences of their action.'	Achọrọ m ka e jidere ha ka ha nara ntaramahụhụ dịrị akparamagwa ha.'
While condemning the attack on her daughter, the victim's mother, Mrs Florence Adekunle, said they wanted justice over the matter.	Ka ọ na-akọcha mwakpo a wakporo nwa ya nwaanyị, nne onye ihe a metụtara, Florence Adekunle, sịrị na ya chọrọ ikpe nkwụmọtọ n' okwu ahụ.
Former lawmaker, Shehu Sani, and rights activist, Segun Awosanya popularly known as Segalink, have condemned the expulsion of a student of Federal University of Agriculture, Abeokuta, over a Facebook post, an open letter to the Inspector-General of Police and his alliance with pro-democracy and human rights activist, Omoyele Sowore.	Onye bụbu ọmebe iwu, Shehu Sani, na 'obuagha' ikike dịrị mmadụ, Segun Awosanya nke ọha ji Segalink wee mara, akatọọla ọchụchụ a chụrụ nwata akwụkwọ Federal University of Agriculture, Abeokuta, maka ihe o tinyere na 'Facebook,' akwụkwọ ozi e zoghi ezo nyere onyeisi uweojii ala anyị na ndọnye ukwu ọ dọnyere obuagha ọchịchị onye kwuo uche ya na nke ikike dịrị mmadụ, Omoyele Sowore.
Shehu Sani, who took to his Twitter handle to express his grievance, said, 'Expelling students and sacking workers over Facebook or Twitter postings is likely to intensify in view of the growing culture of intolerance to criticisms and the establishment discomfort with the social media.'	Shehu Sani, onye jiri ebe nzisa ozi 'Twitter' ya kwupụta ka obi dị ya, sịrị, 'Ịchụ nwata akwụkwọ n' ụlọakwụkwọ na ịchụ ndị ọrụ n' ọrụ maka ihe ha tinyere na' Facebook' na' Twitter' nwere ike isiwanye ike n' ụdị mmụọ enwe nnabata nyere nkọcha na iguzogide mgbakasị ahụ nyere ntụsa ozi soshịa midia.' 
Also reacting to the issue, Segalink wrote, 'By the grace of God, we shall be taking up this case.	N' itinye kwa ọnụ n' okwu a, Segalink dere,' Site n' amara Chukwu, anyị ga-ewere okwu.
The level of impunity in our citadel of knowledge is astronomical.	Ogo enwetaghị ntaramahụhụ n' ajọ ihe n' ebe mmụta anyị dị ukwuu.
An example will be made of this abuse of power by people who should know better.	A ga-eji mmetọ ike nke ndị kwesịrị ịma nke ka mma a wee mere ọmụma atụ.
Kindly advise Ifemosu Michael to reach out, so we can be properly briefed and take up the matter for justice to be served.	Nye Ifemosu Michael ka ọ kpọtụrụ anyị, ka anyị nwe ike mata ihe na-eme ọfụma ma were okwu a iji hụ na o nwetara ikpe nkwụmọtọ.
He is no longer alone.	Ọ bụghị sọ ya so.
However, despite the outcry the expulsion of Ifemosu by on the orders of the Vice Chancellor, Prof Felix Salako, the university's management are yet to give any statement on the issue.	Ka o sina dị, n' agbanyeghi oku na-aga maka ọchụchụ Ifemosu site n' ihe onyeisi ụlọakwụkwọ ahụ, Ọkammụta Felix Salado, kwuru, nlekọta ụlọakwụkwọ ekwubeghi ihe ọbụla banyere okwu a.
Expose Prostitutes In Your Locality, Hisbah Tells Kano Residents	Gbakpo ndị akwụna nọ n' gburugburu gị, Hisbah gwara ndị bi na Kano.
Commander-General of the Board, Sheikh Harun Ibn-Sina, was said to have made the call while addressing women apprehended for roaming the city at night.	Ọchịagha nke òtù a, Sheik Harun Ibn-Sina, ka e kwuru kpọrọ oku a ka ō na-agwa ụmụ nwaanyị e jidere maka ikwụgharị n' obodo n' abalị.
Kano Hisbah corps	Ndị agha Hisbah nke Kano.
Residents of Kano have been urged to expose prostitutes in their localities so that immoral activities can be curbed.	A gbaara ndị bi na Kano ume ka ha gbakpo ndị akụna bi na gburugburu ha ka e wee belata omume rụrụ arụ.
In a statement on Wednesday by its Public Relations Officer, Alhaji Lawan Ibrahim, the Kano State Hisbah Board said that the move would lead to speedy development of the state.	N' okwu ya n' ụbọchị Wenezdee site n' ọnụ onye mmekọrịta ọha na eze ya, Alhaji Lawan Ibrahim, òtù Hisbah nke Kano steeti sịrị na nzọ ụkwụ a ga-eweta mmepe ngwa ngwa na Steeti ahụ.
Commander-General of the Board, Sheikh Harun Ibn-Sina, was said to have made the call while addressing women apprehended for roaming the city at night.	Ọchịagha nke òtù a, Sheik Harun Ibn-Sina, ka e kwuru kpọrọ oku a ka ō na-agwa ụmụ nwaanyị e jidere maka ikwụgharị n' obodo n' abalị.
He said, 'Those apprehended during the Hisbah corps patrol were young girls.	O kwuru, 'Ndị ahụ e jidere n' oge ngagharị ndị agha Hisbah bụ obere ụmụ nwaanyị.
'The raids were carried out at Church Road Sabon Gari, Railway quarters, Tukur Road in Nassarawa GRA and Sarkin Yaki Road in Kano.	'Mbuso agha a were ọnọdụ na' Church Road Sabon Gari', 'Railway quarters', Tukur Road na Nasarawa Grant na Sarkin Yakima Road, Kano. 
'To achieve optimum result in its set programmes and policies, the board had set up 24-hour desk officers to handle any form of security report from the general public.	'Iji nweta ezigbo mpụtara atụmatụ na amụma ha, òtù a ahọpụtala ndị ọrụ ga-anọ ọrụ awa 24 iji leba anya ụdị mkpesa nchekwa ọbụla ndị mmadụ wetara.
'All reports will be treated with utmost confidence and urged people in the state to always be law abiding citizens.'	'A ga-eji okwukwe gbasiri ike wee so mkpesa ọbụla ma na-agba ndị mmadụ nọ na steeti a ume ka bụrụ ndị na-erubere iwu isi.
Ibn-Sina however, said that the arrested women would be counselled before being handed them over to their parents.	Ibn-Sina ka o sina dị, sịrị na a ga-adụ ụmụ nwaanyị ndị e jidere ọdụ tupu e nyefee ha n' aka nne na nna ha.
FC Ifeanyi Uba Players Attacked By Armed Robbers Along Kabba Road	Ndị ohi wakporo ndị òtù bọọlụ Ifeanyị Ụba n' ogologo ụzọ Kabba. 
Driver of the bus conveying the team was said to have been shot while some members of the coaching crew and players were critically injured.	Ọkwọ ụgbọala ụgbọala bụ ndị òtù a ka a sịrị na a gbara egbe ebe ụfọdụ na ndị ọrụ nchịkwa na ndị ọgba bọọlụ meruru nnukwu ahụ.
Players of FC Ifeanyi Uba have been attacked by armed robbers operating along Kabba Road near Lokoja in Kogi State.	Ndị oji egbe ezu nọ n' ogologo ụzọ Kabba dịdebere Lokoja na Kogi steeti awakpoola ndị ọgba bọọlụ nke òtù egwuregwu Ifeanyị Ụba.
A statement by the management of the club on Friday said that the players were travelling to Kano for their scheduled NPFL matchday 6 fixture against Jigawa Golden Stars when they ran into a group of armed robbers dressed in NYSC uniforms.	Okwu a kwuru, ' Nke a bụ iji mee ka ọha na eze mara na n' ihe dịka 1:30pm taa, ndị bọọlụ òtù egwuregwu Ifeanyị Ụba na-aga Kano maka asọmpi NPFL nke 6 e yiwere ha na Jigawa Golden Stars ka zutere òtù oji egbe ezu yi uwe ndị NYSC n' akụkụ Lokoja na Kogi steeti.
Driver of the bus conveying the team was said to have been shot while some members of the coaching crew and players were critically injured.	Ọkwọ ụgbọala ụgbọala bụ ndị òtù a ka a sịrị na a gbara egbe ebe ụfọdụ na ndị ọrụ nchịkwa na ndị ọgba bọọlụ meruru nnukwu ahụ.
Some of the victims were said to be receiving treatment at an undisclosed hospital in the state.	Ụfọdụ ndị ọ metụtara ka a sị na-ara ọgwụgwọ n' ụlọ ọgwụ a kpọghị aha ya na steeti ahụ.
The statement reads, 'This is to inform the general public that at about 1:30pm today, players of FC Ifeanyi Ubah travelling to Kano for their scheduled NPFL matchday 6 fixture against Jigawa Golden Stars ran into a group of armed robbers dressed in NYSC uniforms near Lokoja in Kogi State.'	Okwu onye nlekọta òtù egwuregwu a n' ụbọchị Fraịdee kwuru na ndị ọgba bọọlụ ahụ na-aga Kano maka asọmpi NPFL nke 6 e yiwere ha na Jigawa Golden Stars ka zutere òtù oji egbe ezu yi uwe ndị NYSC.
The club called on the government as well as football regulatory bodies including the Nigerian Football Federation and League Management Company to intensify security on roads across the country.	Òtù egwuregwu a kpọkuru gọọmenti nakwa òtù dị iche iche nchịkwa egwuregwu bọọlụ dị n' aka nke gụnyere 'Nigerian Football Federation' na 'League Management Company' ka kwalite ọnọdụ nchekwa n' okporo ụzọ na Naijiria gburugburu.
Federal Polytechnic Ado Ekiti Bans Students Unionism Over Protest	'Federal Polytechnic' Ado Ekiti machiri òtù ọchịchị ụmụ akwụkwọ maka ịkpọ ganigani.
